path,source_type,basis,ledger_at,ledger_why,ledger_evidence,actual_at,actual_why,actual_evidence,budget_at,budget_why,budget_evidence,hidden_columns
sources/district-budget/text/fy19-final-report.txt,restatement,both,,,,3,repeated Actual columns [wrapped],"Department Summary Budget:  Personnel FY16 FY17 FY18 FY19 FY20 DESCRIPTION, SALARIES Actual Actual Actual Actual Budgeted",3,Budgeted column [wrapped],"Department Summary Budget:  Personnel FY16 FY17 FY18 FY19 FY20 DESCRIPTION, SALARIES Actual Actual Actual Actual Budgeted",
sources/district-budget/text/fy19-proposed-athletics-budget.txt,restatement,both,,,,3,repeated Actual columns [wrapped],Proposed FY19 MSHS Athletic Budget (Submitted to the Superintendent of Schools) AMENDED PROPOSED BUDGET FY14 FY15 FY16 FY17 FY18 FY19 DESCRIPTION Actual Actual Actual Actual Budgeted Requested differe,1,Proposed column [wrapped],===PAGE 1=== Lunenburg Public Schools Proposed FY19 MSHS Athletic Budget (Submitted to the Superintendent of Schools) AMENDED PROPOSED BUDGET,
sources/district-budget/text/fy19-proposed-elementary-school-budget.txt,restatement,both,,,,9,repeated Actual columns [wrapped],DESCRIPTION Actual Actual,1,Proposed column [wrapped],===PAGE 1=== Lunenburg Public Schools Proposed FY19 Turkey Hill Elementary School Budget (Submitted to the Superintendent of Schools),
sources/district-budget/text/fy19-proposed-health-budget.txt,restatement,both,,,,3,repeated Actual columns [wrapped],"FY19 Proposed Non Personnel Budget - Health, Summary Sheet FY14 FY15 FY16 FY17 FY18 FY19 DESCRIPTION Actual Actual Actual Actual Budgeted Requested difference",1,Proposed column [wrapped],"===PAGE 1=== Lunenburg Public Schools FY19 Proposed Non Personnel Budget - Health, Summary Sheet",
sources/district-budget/text/fy19-proposed-high-school-budget.txt,restatement,both,,,,7,repeated Actual columns [wrapped],EXPENSES Actual Actual,1,Proposed column [wrapped],===PAGE 1=== Lunenburg Public Schools FY19 Proposed Lunenburg High School Non Personnel Budget (submitted to the Superintendent of Schools),
sources/district-budget/text/fy19-proposed-maintenance-budget.txt,restatement,both,,,,3,repeated Actual columns [wrapped],FY19 Proposed Non Personnel Budget - Facilities and Grounds:  Summary Sheet FY14 FY15 FY16 FY17 FY18 FY19 DESCRIPTION Actual Actual Actual Actual Budgeted Requested difference,1,Proposed column [wrapped],===PAGE 1=== Lunenburg Public Schools FY19 Proposed Non Personnel Budget - Facilities and Grounds:  Summary Sheet,
sources/district-budget/text/fy19-proposed-middle-school-budget.txt,restatement,both,,,,5,repeated Actual columns [wrapped],Actual FY15 Actual,1,Proposed column [wrapped],===PAGE 1=== Lunenburg Public Schools Proposed FY19 Lunenburg Middle School Budget (Submitted to Superintendent of Schools),
sources/district-budget/text/fy19-proposed-primary-school-budget.txt,restatement,both,,,,42,repeated Actual columns [wrapped],Actual FY15 Actual,1,Proposed column [wrapped],===PAGE 1=== Lunenburg Public Schools Proposed FY19 Primary School Budget (Submitted to the Superintendent of Schools),
sources/district-budget/text/fy19-proposed-special-services-budget.txt,restatement,both,,,,70,repeated Actual columns [wrapped],Actual FY17 Actual,1,Proposed column [wrapped],===PAGE 1=== Lunenburg Public Schools FY19 Proposed Special Services Non Personnel Budget,
sources/district-budget/text/fy19-proposed-technology-budget.txt,forward,budget,,,,,,,1,Proposed column [wrapped],===PAGE 1=== Lunenburg Public Schools FY19 Proposed Budget-Technology,
sources/district-budget/text/fy19-school-department-proposed-budget-for-budget-hearing-updated-3-30.txt,restatement,both,,,,991,repeated Actual columns [wrapped],Actual FY15 Actual,1,Recommended column [wrapped],===PAGE 1=== Lunenburg Public Schools FY19 Superintendent of Schools Recommended Budget: Personnel,
sources/district-budget/text/fy19-school-dept-budget-approved-6-20-18.txt,forward,budget,,,,,,,3,Budgeted column [wrapped],"FY19 Department Budget:  Personnel Approved:  June 20, 2018 FY19 DESCRIPTION, SALARIES Budgeted",
sources/district-budget/text/fy19-school-level-service-budget-3.txt,restatement,both,,,,3,repeated Actual columns [wrapped],FY19 Superintendent of Schools Recommended Level Service Budget:  Personnel FY14 FY15 FY16 FY17 FY18 FY19 Supt. % DESCRIPTION Actual Actual Actual Actual Budgeted Recommended increase,1,Recommended column [wrapped],===PAGE 1=== Lunenburg Public Schools FY19 Superintendent of Schools Recommended Level Service Budget:  Personnel,
sources/district-budget/text/fy19-supt-proposed-expense-budget.txt,restatement,both,,,,3,repeated Actual columns [wrapped],FY19 Superintendent of Schools Recommended Budget:  Expenses FY14 FY15 FY16 FY17 FY18 FY19 % DESCRIPTION Actual Actual Actual Actual Budgeted Recommendedincrease,1,Recommended column [wrapped],===PAGE 1=== Lunenburg Public Schools FY19 Superintendent of Schools Recommended Budget:  Expenses,
sources/district-budget/text/fy19-supt-proposed-personnel-budget.txt,restatement,both,,,,3,repeated Actual columns [wrapped],FY19 Superintendent of Schools Recommended Budget:  Personnel FY14 FY15 FY16 FY17 FY18 FY19 Supt. % DESCRIPTION Actual Actual Actual Actual Budgeted Recommendedincrease,1,Recommended column [wrapped],===PAGE 1=== Lunenburg Public Schools FY19 Superintendent of Schools Recommended Budget:  Personnel,
sources/district-budget/text/fy20-budget-update-recommended-reductions-as-of-february-6-2019.txt,forward,budget,,,,,,,1,Recommended column [wrapped],===PAGE 1=== FY20 BUDGET UPDATE Recommended Reductions,
sources/district-budget/text/fy20-budget-update-recommended-reductions-as-of-march-6-2019.txt,forward,budget,,,,,,,1,Recommended column [wrapped],===PAGE 1=== FY20 BUDGET UPDATE Recommended Reductions,
sources/district-budget/text/fy21-approved-school-budget-6-13-20.txt,restatement,both,,,,3,repeated Actual columns [wrapped],"FY21 Lunenburg Public Schools: Personnel Budget Aproved on Saturday, June 13, 2020 FY17 FY18 FY19 FY20 FY21 % DESCRIPTION, SALARIES Actual Actual Actual Budgeted Proposed increase",3,Budgeted column [wrapped],"FY21 Lunenburg Public Schools: Personnel Budget Aproved on Saturday, June 13, 2020 FY17 FY18 FY19 FY20 FY21 % DESCRIPTION, SALARIES Actual Actual Actual Budgeted Proposed increase",
sources/district-budget/text/fy21-proposed-budget-april-29-2020.txt,restatement,both,,,,3,repeated Actual columns [wrapped],"FY21 Superintendent of Schools Proposed Budget: Personnel Budget Presented on Wednesday, April 29, 2020 FY17 FY18 FY19 FY20 FY21 % DESCRIPTION, SALARIES Actual Actual Actual Budgeted Proposed increase",1,Proposed column [wrapped],"===PAGE 1=== Lunenburg Public Schools FY21 Superintendent of Schools Proposed Budget: Personnel Budget Presented on Wednesday, April 29, 2020",
sources/district-budget/text/fy21-recommended-budget-presentation-4-22-20.txt,forward,budget,,,,,,,1,Recommended column [wrapped],===PAGE 1=== Lunenburg Public Schools FY21 Recommended,
sources/district-budget/text/fy22-budget-schedule.txt,forward,budget,,,,,,,1,FY__ BUDGET column [wrapped],===PAGE 1=== Lunenburg Public Schools FY22 Budget Development and Timelines,
sources/district-budget/text/fy23-approved-budget.txt,restatement,both,,,,3,repeated Actual columns [wrapped],"FY23 Lunenburg Public Schools:  Expense Budget Approved Budget:  May 7, 2022 FY19 FY20 FY21 FY22 FY23 % DESCRIPTION, SALARIES Actual Actual Actual Budgeted Proposed increase",3,Budgeted column [wrapped],"FY23 Lunenburg Public Schools:  Expense Budget Approved Budget:  May 7, 2022 FY19 FY20 FY21 FY22 FY23 % DESCRIPTION, SALARIES Actual Actual Actual Budgeted Proposed increase",
sources/district-budget/text/fy23-quarterly-budget-update.txt,ledger,budget,2,ORG/OBJ with realised columns [wrapped],"Lunenburg Public Schools FY23 Quarterly Budget Update November 11, 2022 ORG OBJ Account Description Original Budget Transfers Revised Budget Expended Encumbrances Account Balance % Used",,,,2,REVISED BUDGET column [wrapped],"Lunenburg Public Schools FY23 Quarterly Budget Update November 11, 2022 ORG OBJ Account Description Original Budget Transfers Revised Budget Expended Encumbrances Account Balance % Used",
sources/district-budget/text/fy23-superintendent-recommended-budget-presentation.txt,forward,budget,,,,,,,1,Recommended column [wrapped],===PAGE 1=== Superintendent’s Recommended  FY23 Budget Presentation,
sources/district-budget/text/fy23-superintendent-recommended-budget.txt,restatement,both,,,,3,repeated Actual columns [wrapped],"FY23 Lunenburg Public Schools:  Expense Budget Recommended Budget:  March 16, 2022 FY19 FY20 FY21 FY22 FY23 % DESCRIPTION, SALARIES Actual Actual Actual Budgeted Proposed increase",1,Recommended column [wrapped],"===PAGE 1=== Lunenburg Public Schools FY23 Lunenburg Public Schools:  Expense Budget Recommended Budget:  March 16, 2022",
sources/district-budget/text/fy24-approved-budget.txt,restatement,both,,,,3,repeated Actual columns [wrapped],"FY24 Lunenburg Public Schools:  Personnel Budget Final Recommended Budget:  March 15, 2023 FY20 FY21 FY22 FY23 FY24 % DESCRIPTION, SALARIES Actual Actual Actual Budgeted Proposed increase",1,Recommended column [wrapped],"===PAGE 1=== Lunenburg Public Schools FY24 Lunenburg Public Schools:  Personnel Budget Final Recommended Budget:  March 15, 2023",
sources/district-budget/text/fy24-superintendent-39-s-recommended-budget-presentation.txt,forward,budget,,,,,,,361,Tier scenario column [wrapped],Behavioral Health Curriculum Trails to Wellness • Tier 1 SEL curriculum grades K-8 through SEL; grades 9-12 through Advisory,
sources/district-budget/text/fy25-final-approved-budget-expenses-6-5-24.txt,forward,budget,,,,,,,1,Proposed column [wrapped],"===PAGE 1=== FY25 DESCRIPTION, EXPENSES Proposed",
sources/district-budget/text/fy25-final-approved-budget-salaries-6-5-24.txt,forward,budget,,,,,,,1,Proposed column [wrapped],"===PAGE 1=== FY25 DESCRIPTION, SALARIES Proposed",
sources/district-budget/text/fy25-recommended-budget-5-52.txt,forward,budget,,,,,,,1,Recommended column [wrapped],===PAGE 1=== Lunenburg FY25 Recommended 5.42% Budget FY24 School Department Budget,
sources/district-budget/text/fy25-recommended-budget-update-with-needs-based-budget.txt,forward,budget,,,,,,,1,FY__ BUDGET column [wrapped],===PAGE 1=== FY25 Budget Update with Needs-Based Budget,
sources/district-budget/text/fy25-superintendent-39-s-budget-update.txt,forward,budget,,,,,,,2,FY__ BUDGET column [wrapped],FY25 Budget,
sources/district-budget/text/fy26-level-service-budget-presentation.txt,forward,budget,,,,,,,44,Tier scenario column [wrapped],Behavioral Health Referrals Tier 2 Caseloads,
sources/district-budget/text/fy26-school-department-budget-fincomm.txt,forward,budget,,,,,,,6,Budgeted column [wrapped],===PAGE 2=== FY25 Budgeted,
sources/district-budget/text/fy26-school-dept-approved-budget-3-12-25.txt,forward,budget,,,,,,,1,Budgeted column [wrapped],===PAGE 1=== FY25 FY26 % Budgeted Budgeted increase,
sources/district-budget/text/fy26-superintendent-39-s-proposed-budget-2-26-25-updated-3-12-25.txt,forward,budget,,,,,,,3,FY__ BUDGET column [wrapped],Lunenburg Public Schools FY26 Budget,
sources/district-budget/text/fy26-superintendent-39-s-proposed-budget-presentation-1-22-25.txt,forward,budget,,,,,,,2,FY__ BUDGET column [wrapped],FY26 Budget,
sources/district-budget/text/fy26-town-manager-39-s-target-budget-2-5-25-presentation.txt,forward,budget,,,,,,,4,Level Service column [wrapped],"February 5, 2025 ===PAGE 2=== Level Service and Federal Grants",
sources/district-budget/text/fy27-budget-presentation-to-finance-committee-2-26-26.txt,forward,budget,,,,,,,4,FY__ BUDGET column [wrapped],"February 26, 2026 Presentation to Finance Committee ===PAGE 2=== FY26 Budget",
sources/district-budget/text/fy27-budget-projections-as-of-2-16-26-with-restorations.txt,forward,budget,,,,,,,1,Proposed column [wrapped],===PAGE 1=== LUNENBURG PUBLIC SCHOOLS FY27 PROPOSED BUDGET,
sources/district-budget/text/fy27-budget-projections-as-of-2-24-26-with-restorations.txt,restatement,both,,,,3,ACTUALS column [wrapped],"February 24, 2026 FY23 FY24 FY25 FY26  FY27 DISTRICT EXPENSES ACTUALS ACTUALS ACTUALS FINAL BUDGET  Proposed",1,Proposed column [wrapped],"===PAGE 1=== FY27 PROPOSED BUDGET February 24, 2026",
sources/district-budget/text/fy27-budget-projections-as-of-3-16-26-with-restorations.txt,restatement,both,,,,4,ACTUALS column [wrapped],"March 16, 2026 FY23 FY24 FY25 FY25 FY26 FY26  FY26  FY27  FY27  FY27  FY27 DISTRICT EXPENSES ACTUALS ACTUALS ACTUALS Budget FINAL BUDGET  Actuals to date",1,Proposed column [wrapped],===PAGE 1=== LUNENBURG PUBLIC SCHOOLS FY27 PROPOSED BUDGET,
sources/district-budget/text/fy27-budget-projections-as-of-3-23-26.txt,restatement,both,,,,407,ACTUALS column [wrapped],"TOTAL EXPENSES: $9,169,982 $9,573,814 $9,316,631 $9,102,926 $8,865,873 TOTAL SALARIES: $17,117,494 $18,947,001 $18,779,385 $18,230,363 $17,706,416 TOTAL ACTUALS & BUDGET: $26,287,474 $28,520,815 $28,0",1,Proposed column [wrapped],===PAGE 1=== LUNENBURG PUBLIC SCHOOLS FY27 PROPOSED BUDGET,
sources/district-budget/text/fy27-superintendent-budget-presentation.txt,forward,budget,,,,,,,4,FY__ BUDGET column [wrapped],"February 26, 2026 Presentation to Finance Committee ===PAGE 2=== FY26 Budget",
sources/district-budget/text/lhs-athletics-faq.txt,narrative,narrative,,,,,,,,,,
sources/district-budget/text/lunenburg-school-committee-override-statement.txt,forward,budget,,,,,,,33,Proposed column [wrapped],"achievement, and seriously risks the positive momentum we have established. In order to make up the gap between the 4.47% budget and what the budget would be excluding the Covid Funds, the School Comm",
sources/district-budget/text/notice-of-budget-hearing-3-16-22.txt,forward,budget,,,,,,,4,Proposed column [wrapped],The Lunenburg School Committee in compliance with M.G.L. and the Town of Lunenburg Charter advises all citizens the proposed FY23 Budget is available for review,
sources/district-budget/text/notice-of-public-budget-hearing-2-25.txt,forward,budget,,,,,,,4,Proposed column [wrapped],The Lunenburg School Committee in compliance with M.G.L. and the Town of Lunenburg Charter advises all citizens the proposed FY27  Budget is available for review at the Of fice of the,
sources/district-budget/text/notice-of-public-hearing-fy20-budget.txt,forward,budget,,,,,,,2,Proposed column [wrapped],NOTICE OF PUBLIC HEARING The Lunenburg School Committee in compliance with M.G.L. and the Town of Lunenburg Charter advises all citizens the proposed FY20 Budget is available for review,
sources/district-budget/text/school-committee-approved-fy26-budget-personnel-cuts.txt,forward,budget,,,,,,,1,FY__ BUDGET column [wrapped],"===PAGE 1=== School Committee Approved FY26 Budget $ 25,787,474 (3.6%)",
sources/district-budget/text/school-department-fy26-budget-overview.txt,forward,budget,,,,,,,1,FY__ BUDGET column [wrapped],"===PAGE 1=== School Department FY26 Budget Overview March 27, 2025",
sources/district-budget/text/slide-deck-from-the-sc-meeting-3-23-26.txt,forward,budget,,,,,,,229,Proposed column [wrapped],"===PAGE 26=== Raise Athletic Fees by $75 will generate ~ $120,000 Impact of action: A proposed",
sources/district-budget/text/summary-page-tm-target-budget-needs-based-level-service.txt,forward,budget,,,,,,,1,FY__ BUDGET column [wrapped],"===PAGE 1=== FY25 School Department Budget $24,883,376 Town Manager’s target FY26 budget",
sources/district-budget/text/superintendent-39-s-fy21-budget-identified-needs.txt,forward,budget,,,,,,,427,Budgeted column [wrapped],"HR/ Payroll Specialist, District ===PAGE 21=== Not Budgeted",
sources/district-budget/text/superintendent-39-s-proposed-budget.txt,forward,budget,,,,,,,3,Proposed column [wrapped],Lunenburg Public Schools Superintendent’s Proposed FY20 Budget,
sources/district-budget/text/superintendent-s-budget-recommendations.txt,forward,budget,,,,,,,3,Proposed column [wrapped],"March 29, 2019  The District Leadership Team met to discuss the final recommendation to close the gap between the Superintendent’s Proposed Budget (4.2%) and the Town Manager’s Target budget (3.0%).  ",
sources/district-budget/text/superintendent-s-proposed-fy21-budget-presentation.txt,forward,budget,,,,,,,1,Proposed column [wrapped],===PAGE 1=== Superintendent’s Proposed FY21 Budget,
sources/district-budget/text/superintendent-s-recommended-fy20-budget-presentation.txt,restatement,both,,,,145,repeated Actual columns [wrapped],"Lunenburg $21,018,516.00  1,619.30 $12,980.00 ===PAGE 14=== DESCRIPTION FY16 Actual FY17 Actual FY18 Actual FY19 Budgeted +3.0% +4.2%",1,Recommended column [wrapped],===PAGE 1=== SUPERINTENDENT’S RECOMMENDED,
sources/district-budget/text/the-tale-of-our-ten-districts.txt,restatement,both,,,,106,repeated Actual columns [wrapped],Actual Budget Total Actual Budget,99,Budgeted column [wrapped],"$8,586 Worcester Southborough Budgeted per pupil spending by revenue source, FY2018",
sources/district-budget/text/tm-budget-side-by-side-view.txt,forward,budget,,,,,,,40,Proposed column,Utility  Increases   Electricity  -  Underfunded;  Pd.  from  Revolving  Account  ;  FY24  Actuals=  $262189   FY25  Appropriation=$230000;   FY26  Proposed  =$265000;  Increase  15.2%  Gas  -  No  pr,
sources/district-budget/text/tm-budget-updated-3-12-25.txt,forward,budget,,,,,,,1,FY__ BUDGET column [wrapped],===PAGE 1=== School Department FY26 Budget Overview Finance Committee Presentation,
sources/district-budget/text/town-meeting-budget-presentation.txt,forward,budget,,,,,,,4,FY__ BUDGET column [wrapped],LUNENBURG PUBLIC SCHOOLS FY20 Budget,
sources/district-budget/text/town-meeting-fy20-budget-documents.txt,restatement,both,,,,1128,repeated Actual columns [wrapped],Actual FY16 Actual,2,FY__ BUDGET column [wrapped],LUNENBURG PUBLIC SCHOOLS FY20 Budget,
