fy,school_year,level,item,amount,unit,unit_status,unit_basis,unit_quote,set_on,source,source_file,source_ref,verified
2025,2024-25,HS,family_cap,475.00,"per family, per season",stated,"The FAQ names the period inside the label itself: ""Total Cap per season"".",Total Cap per season,,LHS Athletics FAQ (rschoolteams.com),district-budget/text/lhs-athletics-faq.txt,Total Cap per season=$475.00,quoted in source
2024,2023-24,MS,full_pay,200.00,"per student, per season",stated,"The FAQ prints the heading ""Per Season Breakdown:"" immediately above these amounts, in both the high school and the middle school block.",Per Season Breakdown:,,LHS Athletics FAQ (rschoolteams.com),district-budget/text/lhs-athletics-faq.txt,1st student=$200.00,quoted in source
2025,2024-25,MS,full_pay,200.00,"per student, per season",stated,"The FAQ prints the heading ""Per Season Breakdown:"" immediately above these amounts, in both the high school and the middle school block.",Per Season Breakdown:,,LHS Athletics FAQ (rschoolteams.com),district-budget/text/lhs-athletics-faq.txt,1st student=$200.00,quoted in source
2024,2023-24,MS,second_child,150.00,"per student, per season",stated,"The FAQ prints the heading ""Per Season Breakdown:"" immediately above these amounts, in both the high school and the middle school block.",Per Season Breakdown:,,LHS Athletics FAQ (rschoolteams.com),district-budget/text/lhs-athletics-faq.txt,2nd student=$150.00,quoted in source
2025,2024-25,MS,second_child,150.00,"per student, per season",stated,"The FAQ prints the heading ""Per Season Breakdown:"" immediately above these amounts, in both the high school and the middle school block.",Per Season Breakdown:,,LHS Athletics FAQ (rschoolteams.com),district-budget/text/lhs-athletics-faq.txt,2nd student=$150.00,quoted in source
2024,2023-24,ANY,unified_track,100.00,not established,not established,"The FAQ lists this as a bullet BELOW both ""Per Season Breakdown:"" blocks and under no heading of its own. Nothing in the document says what period it covers.",,,LHS Athletics FAQ (rschoolteams.com),district-budget/text/lhs-athletics-faq.txt,Unified Track =$100.00,quoted in source
2025,2024-25,ANY,unified_track,100.00,not established,not established,"The FAQ lists this as a bullet BELOW both ""Per Season Breakdown:"" blocks and under no heading of its own. Nothing in the document says what period it covers.",,,LHS Athletics FAQ (rschoolteams.com),district-budget/text/lhs-athletics-faq.txt,Unified Track =$100.00,quoted in source
2026,2025-26,HS,full_pay,325.00,"per student, per season",structural,"The 26 February 2025 minutes state an amount and no period. The same amount sits in the workbook's per-season rate strip, in the 25/26 column, which is the corroborating row recorded separately below.",,2025-02-26,"School Committee minutes, 26 February 2025 — ""Increasing New & Existing Revenues""",minutes/text/school-committee/2025-02-26-minutes-7076.txt,"up 
to $325",quoted in source
2026,2025-26,HS,full_pay_confirm,325.00,"per student, per season",structural,"The workbook nowhere writes the word season. Its own construction fixes it: the rate strip is row 3 of three worksheets named Fall, Winter, Spring, the same rates appear on more than one of them, and each is applied to that worksheet's own athlete counts.",,,"District athletics workbook, by sport (Town filename: Copy of Athletics 24.25 (1).xlsx)",town-ledgers/account-details/athletics-by-sport-fy2024-fy2026.xlsx,Spring!G3,Spring!G3
2026,2025-26,MS,full_pay,275.00,not established,not established,"The 26 February 2025 minutes state an amount and no period, and no cell of the district workbook carries this figure.",,2025-02-26,"School Committee minutes, 26 February 2025 — ""Increasing New & Existing Revenues""",minutes/text/school-committee/2025-02-26-minutes-7076.txt,$275 for Middle School,quoted in source
2026,2025-26,HS,sibling_discount_pct,25.00,"percent of the fee, for an additional child",stated,A percentage discount off another rate. It carries no period of its own.,A 25% discount for siblings,2025-02-26,"School Committee minutes, 26 February 2025 — ""Increasing New & Existing Revenues""",minutes/text/school-committee/2025-02-26-minutes-7076.txt,A 25% discount for siblings,quoted in source
2026,2025-26,HS,reduced_fee,50.00,"per student, per season",structural,"The 26 February 2025 minutes state an amount and no period. The same amount sits in the workbook's per-season rate strip, in the 25/26 column, which is the corroborating row recorded separately below.",,2025-02-26,"School Committee minutes, 26 February 2025 — ""Increasing New & Existing Revenues""",minutes/text/school-committee/2025-02-26-minutes-7076.txt,Reduced fee for high school to $50,quoted in source
2026,2025-26,HS,reduced_fee_confirm,50.00,"per student, per season",structural,"The workbook nowhere writes the word season. Its own construction fixes it: the rate strip is row 3 of three worksheets named Fall, Winter, Spring, the same rates appear on more than one of them, and each is applied to that worksheet's own athlete counts.",,,"District athletics workbook, by sport (Town filename: Copy of Athletics 24.25 (1).xlsx)",town-ledgers/account-details/athletics-by-sport-fy2024-fy2026.xlsx,Spring!S3,Spring!S3
2026,2025-26,MS,reduced_fee,40.00,"per student, per season",structural,"The 26 February 2025 minutes state an amount and no period. The same amount sits in the workbook's per-season rate strip, in the 25/26 column, which is the corroborating row recorded separately below.",,2025-02-26,"School Committee minutes, 26 February 2025 — ""Increasing New & Existing Revenues""",minutes/text/school-committee/2025-02-26-minutes-7076.txt,$40 for middle school,quoted in source
2026,2025-26,MS,reduced_fee_confirm,40.00,"per student, per season",structural,"The workbook nowhere writes the word season. Its own construction fixes it: the rate strip is row 3 of three worksheets named Fall, Winter, Spring, the same rates appear on more than one of them, and each is applied to that worksheet's own athlete counts.",,,"District athletics workbook, by sport (Town filename: Copy of Athletics 24.25 (1).xlsx)",town-ledgers/account-details/athletics-by-sport-fy2024-fy2026.xlsx,Spring!V3,Spring!V3
2026,2025-26,ANY,family_cap,1500.00,not established,not established,"THE ONE THAT MATTERS. The cap that preceded this one was stated per season, in those words. This one is stated with no period at all, and no cell of the district workbook carries a family cap of any amount. Read per season and read per year it is a different bill, and nothing published says which.",,2025-02-26,"School Committee minutes, 26 February 2025 — ""Increasing New & Existing Revenues""",minutes/text/school-committee/2025-02-26-minutes-7076.txt,family cap of $1500,quoted in source
2027,2026-27,HS,full_pay,400.00,not established,not established,"The source is an email to families that this archive does not hold, so nothing about it can be quoted -- the amount included.",,2026-08,"Superintendent's email to families, August 2026",,,source not held
2027,2026-27,HS,second_child,300.00,not established,not established,"The source is an email to families that this archive does not hold, so nothing about it can be quoted -- the amount included.",,2026-08,"Superintendent's email to families, August 2026",,,source not held
2027,2026-27,HS,third_child,225.00,not established,not established,"The source is an email to families that this archive does not hold, so nothing about it can be quoted -- the amount included.",,2026-08,"Superintendent's email to families, August 2026",,,source not held
2027,2026-27,ANY,family_cap,1500.00,not established,not established,"The source is an email to families that this archive does not hold, so nothing about it can be quoted -- the amount included.",,2026-08,"Superintendent's email to families, August 2026",,,source not held
