order,section,metric,value,what_it_is,kind,source,duplicate_of,keep,new_order,notes
75,8 Everything each report establishes (by topic) — Special education,"What out-of-district special education costs, and what comes back","$471,771",Taken off the bill in FY2026 before the state reimburses anything,measured,/what-special-education-costs,,,,
76,8 Everything each report establishes (by topic) — Special education,"What out-of-district special education costs, and what comes back","$1,205,949",Spent teaching children at other schools in FY2025,measured,/what-special-education-costs,,,,
77,8 Everything each report establishes (by topic) — Special education,The circuit breaker — what the state reimburses for the costliest placements,9,"29 children claimed in FY2013, 9 in FY2026; the cost per child went from $67,111 to $139,692.",measured,/circuit-breaker,section 7 (the report’s lead),,,
78,8 Everything each report establishes (by topic) — Special education,The circuit breaker — what the state reimburses for the costliest placements,42.3%,The state paid 42.3% of the claim in FY2010 and 75.0% in FY2023; the statute allows up to 75%.,measured,/circuit-breaker,,,,
79,8 Everything each report establishes (by topic) — Special education,The circuit breaker — what the state reimburses for the costliest placements,"$52,419","In FY2026 the state deducted $52,419 per child before reimbursing anything — $471,771 in all.",measured,/circuit-breaker,,,,
80,8 Everything each report establishes (by topic) — Special education,The circuit breaker — what the state reimburses for the costliest placements,"$94,993","Since FY2022 the state has also reimbursed special education transport: $94,993 in FY2026.",measured,/circuit-breaker,,,,
81,8 Everything each report establishes (by topic) — Special education,The circuit breaker — what the state reimburses for the costliest placements,"$139,692","Lunenburg’s cost per claimed child, $139,692, is second highest of 6 districts in FY2026.",measured,/circuit-breaker,,,,
82,8 Everything each report establishes (by topic) — Special education,Who ends up out of district,10,"Children whose special education plan placed them outside Lunenburg schools, FY2025",measured,/who-ends-up-out-of-district,section 7 (the report’s lead),,,
83,8 Everything each report establishes (by topic) — Special education,Who ends up out of district,18.2%,Of children starting in a separate special education classroom end up outside the district,measured,/who-ends-up-out-of-district,,,,
84,8 Everything each report establishes (by topic) — Special education,How many students one special education group may have,8,A substantially separate group may not exceed 8 students to one certified special educator,measured,/special-education-class-size,section 7 (the report’s lead),,,
85,8 Everything each report establishes (by topic) — Special education,How many students one special education group may have,,Nothing published lets anybody compute how many staff this rule requires in Lunenburg,measured,/special-education-class-size,,,,
86,8 Everything each report establishes (by topic) — Special education,How many students one special education group may have,8,"Every tier the rule sets names one educator — at every age, in every setting",measured,/special-education-class-size,,,,
87,8 Everything each report establishes (by topic) — Special education,How many students one special education group may have,20,"The more separate the setting, the lower the ceiling — in both age bands",measured,/special-education-class-size,,,,
88,8 Everything each report establishes (by topic) — Special education,How many students one special education group may have,0,The rule sets the MINIMUM staffing for a group size. IEPs add on top of it,measured,/special-education-class-size,,,,
89,8 Everything each report establishes (by topic) — Special education,How many students one special education group may have,60%,DESE counts placements on the same axis the rule uses: time outside general education,measured,/special-education-class-size,,,,
90,8 Everything each report establishes (by topic) — Special education,How many students one special education group may have,41,DESE reports 41 of Lunenburg’s 258 students with disabilities as substantially separate,measured,/special-education-class-size,,,,
91,8 Everything each report establishes (by topic) — Where the school money comes from,"Chapter 70 — the formula, and why it pays the floor","$240,450","Increase in state school aid for FY2026, all of it the Legislature’s flat minimum",measured,/why-we-only-get-minimum-aid,section 7 (the report’s lead),,,
92,8 Everything each report establishes (by topic) — Where the school money comes from,"Chapter 70 — the formula, and why it pays the floor",37.8%,Rise since FY2019 in what the state requires Lunenburg to pay for its own schools,measured,/why-we-only-get-minimum-aid,,,,
93,8 Everything each report establishes (by topic) — Where the school money comes from,"Chapter 70 — the formula, and why it pays the floor",83.7%,"Growth in Lunenburg’s property wealth since FY2019, against a state median far below it",measured,/why-we-only-get-minimum-aid,,,,
94,8 Everything each report establishes (by topic) — Where the school money comes from,"How Chapter 70 actually works, in eight steps",$150.00,What one more or one fewer foundation pupil moves Lunenburg’s state aid by,measured,/how-chapter-70-works,section 7 (the report’s lead),,,
95,8 Everything each report establishes (by topic) — Where the school money comes from,"How Chapter 70 actually works, in eight steps","$5,757.59","Chapter 70 aid for each foundation pupil in FY2026, against $150.00 of increase",measured,/how-chapter-70-works,,,,
96,8 Everything each report establishes (by topic) — Where the school money comes from,"How Chapter 70 actually works, in eight steps",2,Provisions in DESE’s own definitions that can reduce a district’s Chapter 70 aid,measured,/how-chapter-70-works,,,,
97,8 Everything each report establishes (by topic) — Where the school money comes from,"How Chapter 70 actually works, in eight steps",968,Foundation pupils at which the formula’s own subtraction would turn negative,measured,/how-chapter-70-works,,,,
98,8 Everything each report establishes (by topic) — Where the school money comes from,What the state requires us to spend — and where that puts us,25.2%,"Rise in the state minimum since FY2018, against a rise in spending of half that",measured,/what-the-state-requires-us-to-spend,section 7 (the report’s lead),,,
99,8 Everything each report establishes (by topic) — Where the school money comes from,What the state requires us to spend — and where that puts us,"$2,534,627","More than Lunenburg spent, to match the middle district in the state",measured,/what-the-state-requires-us-to-spend,,,,
100,8 Everything each report establishes (by topic) — Where the school money comes from,What the state requires us to spend — and where that puts us,14,Years Lunenburg spent at or above what the middle district in the state spent,measured,/what-the-state-requires-us-to-spend,,,,
101,8 Everything each report establishes (by topic) — Where the school money comes from,"What other districts spend, for each pupil",43.3%,"More for each pupil at Monty Tech, a regional vocational school, than Lunenburg",measured,/what-other-districts-spend,section 7 (the report’s lead),,,
102,8 Everything each report establishes (by topic) — Where the school money comes from,"What other districts spend, for each pupil","$18,027","Spent for each pupil, counting every fund — below the state median",measured,/what-other-districts-spend,,,,
103,8 Everything each report establishes (by topic) — Where the school money comes from,"What other districts spend, for each pupil","$17,025",What Lunenburg would spend for each pupil at its own enrollment of thirteen years ago,measured,/what-other-districts-spend,,,,
104,8 Everything each report establishes (by topic) — Where the school money comes from,"What other districts spend, for each pupil","$97,233","Average teacher salary, near the top of the neighbouring districts",measured,/what-other-districts-spend,,,,
105,8 Everything each report establishes (by topic) — Where the school money comes from,When a grant ends — who picks up the bill,42.2%,Of the grant money that ran out in FY2025 was replaced by the town’s own money,measured,/when-grants-end,section 7 (the report’s lead),,,
106,8 Everything each report establishes (by topic) — Where the school money comes from,When a grant ends — who picks up the bill,"$3,026,556",Rise in what the town paid for employee insurance in FY2025,measured,/when-grants-end,,,,
107,8 Everything each report establishes (by topic) — Where the school money comes from,When a grant ends — who picks up the bill,"$2,520,227","A year the town now carries that outside money used to, at today’s spending",measured,/when-grants-end,,,,
108,"8 Everything each report establishes (by topic) — What the money buys, and what it does not","School staffing — did it go up, and over which years",95,Pairs of published years where the state counts fewer teachers at the end than the start,measured,/school-staffing,section 7 (the report’s lead),,,
109,"8 Everything each report establishes (by topic) — What the money buys, and what it does not","School staffing — did it go up, and over which years",6.70,"Teaching staff for each hundred pupils, near the bottom of the state’s comparison group",measured,/school-staffing,,,,
110,"8 Everything each report establishes (by topic) — What the money buys, and what it does not",Who works in each school,123,"Teachers the state counted as people in FY2023, against 112.8 full-time equivalent posts",measured,/who-works-in-each-school,section 7 (the report’s lead),,,
111,"8 Everything each report establishes (by topic) — What the money buys, and what it does not",The paraprofessionals,352.7%,"Rise in paraprofessionals for each hundred pupils, the biggest change in staffing",measured,/the-paraprofessionals,section 7 (the report’s lead),,,
112,"8 Everything each report establishes (by topic) — What the money buys, and what it does not",The paraprofessionals,34.0,"Rise in paraprofessional FTE the state does not code to special education, FY2020 to FY2025",measured,/the-paraprofessionals,,,,
113,"8 Everything each report establishes (by topic) — What the money buys, and what it does not",The paraprofessionals,108.4%,Rise in what the schools budget for special education paraprofessionals,measured,/the-paraprofessionals,,,,
114,"8 Everything each report establishes (by topic) — What the money buys, and what it does not","What courses actually ran, subject by subject",247,"Lunenburg High ran 247 sections in SY2025 against 225 in SY2017, on flat enrolment.",measured,/what-courses-actually-ran,section 7 (the report’s lead),,,
115,"8 Everything each report establishes (by topic) — What the money buys, and what it does not","What courses actually ran, subject by subject",57.8%,"57.8% of Lunenburg High students took a foreign language in SY2025, against 70.1% in SY2017.",measured,/what-courses-actually-ran,,,,
116,"8 Everything each report establishes (by topic) — What the money buys, and what it does not","What courses actually ran, subject by subject",29.3%,"29.3% of Lunenburg Middle School took a world language in SY2025, against 61.0% in SY2023.",measured,/what-courses-actually-ran,,,,
117,"8 Everything each report establishes (by topic) — What the money buys, and what it does not","What courses actually ran, subject by subject",60.4%,"60.4% of Lunenburg High takes a history course, against 75.8% before SY2020.",measured,/what-courses-actually-ran,,,,
118,"8 Everything each report establishes (by topic) — What the money buys, and what it does not","What courses actually ran, subject by subject",1,In the 11 years Lunenburg High held only grades 9-12 it ran 1 computer science section.,measured,/what-courses-actually-ran,,,,
119,"8 Everything each report establishes (by topic) — What the money buys, and what it does not","What courses actually ran, subject by subject",20.6%,20.6% of Lunenburg High’s sections are in a class averaging 4.9 students.,measured,/what-courses-actually-ran,,,,
120,"8 Everything each report establishes (by topic) — What the money buys, and what it does not","What courses actually ran, subject by subject",8,Sections and teacher FTE moved the same way in 8 of the 10 subjects with both published.,measured,/what-courses-actually-ran,,,,
121,"8 Everything each report establishes (by topic) — What the money buys, and what it does not","What courses actually ran, subject by subject",51,"Miscellaneous went from 35 sections to 51 at Lunenburg High, taking the same share of students.",measured,/what-courses-actually-ran,,,,
122,"8 Everything each report establishes (by topic) — What the money buys, and what it does not","What courses actually ran, subject by subject",2.8,Mathematics teacher FTE fell 2.8 at the middle school and rose 1.7 at the high school.,measured,/what-courses-actually-ran,,,,
123,"8 Everything each report establishes (by topic) — What the money buys, and what it does not","AP exams — who sits them, in what, and how they score",89,89 students sat at least one AP exam in SY2025 — about 39% of the 11th and 12th grades.,measured,/ap-exams,section 7 (the report’s lead),,,
124,"8 Everything each report establishes (by topic) — What the money buys, and what it does not","AP exams — who sits them, in what, and how they score",88.3%,"88.3% of AP tests scored 3 or better in SY2025, the best of 19 years; the low: 62.1% in SY2009.",measured,/ap-exams,,,,
125,"8 Everything each report establishes (by topic) — What the money buys, and what it does not","AP exams — who sits them, in what, and how they score",117,117 of 154 AP sittings in SY2025 were English or history; science and math were 31.,measured,/ap-exams,,,,
126,"8 Everything each report establishes (by topic) — What the money buys, and what it does not",Health insurance — the cost outside the school budget,"$1,521,536",Of the schools’ health insurance is not in the school budget at all,measured,/health-insurance,section 7 (the report’s lead),,,
127,"8 Everything each report establishes (by topic) — What the money buys, and what it does not",Health insurance — the cost outside the school budget,4.3%,"A year, the growth of the town’s insurance department",measured,/health-insurance,,,,
128,"8 Everything each report establishes (by topic) — What the money buys, and what it does not",What stopped being funded,93,Things cut to zero in the school budget that were funded again later,measured,/what-stopped-being-funded,section 7 (the report’s lead),,,
129,"8 Everything each report establishes (by topic) — What the money buys, and what it does not",What stopped being funded,"$181,180",Carried by everything the schools cut and never funded again,measured,/what-stopped-being-funded,,,,
130,"8 Everything each report establishes (by topic) — What the money buys, and what it does not",What stopped being funded,"$789,633","A year below their peaks, across the two biggest lasting falls in the school budget",measured,/what-stopped-being-funded,,,,
131,"8 Everything each report establishes (by topic) — What the money buys, and what it does not","The cut register — what was announced, and what shows",3,Positions on the FY2020 cut list that were gone from it four weeks later,measured,/cut-register,section 7 (the report’s lead),,,
132,"8 Everything each report establishes (by topic) — What the money buys, and what it does not","The cut register — what was announced, and what shows",13,School positions the May 2024 override took off the cut list,measured,/cut-register,,,,
133,"8 Everything each report establishes (by topic) — What the money buys, and what it does not","The cut register — what was announced, and what shows",48,Adopted school cuts that no published series can see at all,measured,/cut-register,,,,
134,"8 Everything each report establishes (by topic) — What the money buys, and what it does not","The cut register — what was announced, and what shows",6,"Adopted cuts the state’s teacher counts move with, of the ones it can see",measured,/cut-register,,,,
135,"8 Everything each report establishes (by topic) — What the money buys, and what it does not",Budgets against what was later reported,198,Budget rows that landed within two per cent of their own plan,measured,/budget-vs-actual,section 7 (the report’s lead),,,
136,"8 Everything each report establishes (by topic) — What the money buys, and what it does not",Budgets against what was later reported,7,"School budget rows that miss the same way every year, all by small amounts",measured,/budget-vs-actual,,,,
137,"8 Everything each report establishes (by topic) — What the money buys, and what it does not",Budgets against what was later reported,51.5%,How far below plan out-of-district tuition landed in its worst measured year,measured,/budget-vs-actual,,,,
138,8 Everything each report establishes (by topic) — Where the children are,"Who is in the schools — enrolment, FY1994 to today","1,568","1,568 children, 319 fewer than the FY2003 peak — and the fall stopped in FY2015.",measured,/who-is-in-the-schools,section 7 (the report’s lead),,,
139,8 Everything each report establishes (by topic) — Where the children are,"Who is in the schools — enrolment, FY1994 to today",30.0%,Grades 9–12 fell 30.0% since FY2008; pre-K to grade 5 fell 5.8%.,measured,/who-is-in-the-schools,,,,
140,8 Everything each report establishes (by topic) — Where the children are,"Who is in the schools — enrolment, FY1994 to today",258,"258 students with disabilities in FY2008, 258 in FY2026 — in a school 14.0% smaller.",measured,/who-is-in-the-schools,,,,
141,8 Everything each report establishes (by topic) — Where the children are,"Who is in the schools — enrolment, FY1994 to today",70,English learners went from 3 children in FY2008 to 70 in FY2026.,measured,/who-is-in-the-schools,,,,
142,8 Everything each report establishes (by topic) — Where the children are,"Who is in the schools — enrolment, FY1994 to today",25.2%,"Low-income: 15.5% of students in FY2014, 25.2% in FY2026 — measured two different ways.",measured,/who-is-in-the-schools,,,,
143,8 Everything each report establishes (by topic) — Where the children are,"Who is in the schools — enrolment, FY1994 to today",14.0%,FY2008 to FY2026 Lunenburg’s enrolment fell 14.0%; its 4 neighbours fell 9.6% to 37.0%.,measured,/who-is-in-the-schools,,,,
144,8 Everything each report establishes (by topic) — Where the children are,Which grades students leave in,20.5%,20.5% of each eighth grade does not come back to a Lunenburg school for grade 9.,measured,/which-grades-students-leave,section 7 (the report’s lead),,,
145,8 Everything each report establishes (by topic) — Where the children are,Which grades students leave in,27.7%,The eighth grade measured this year lost 27.7% — the second-highest of seventeen years.,measured,/which-grades-students-leave,,,,
146,8 Everything each report establishes (by topic) — Where the children are,Which grades students leave in,"1,538","DESE’s rates imply 1,538 children left in seventeen years. Enrolment fell 171.",measured,/which-grades-students-leave,,,,
147,8 Everything each report establishes (by topic) — Where the children are,Which grades students leave in,34.7%,"Eighth graders on an IEP leave at 34.7%, against 20.5% for all students.",measured,/which-grades-students-leave,,,,
148,8 Everything each report establishes (by topic) — Where the children are,Which grades students leave in,,No published record says which school a departing Lunenburg eighth grader went to.,measured,/which-grades-students-leave,,,,
149,8 Everything each report establishes (by topic) — Where the children are,"Who leaves Lunenburg schools, and where they go",-4.8%,"Change in children schooled outside Lunenburg, over 13 years",measured,/where-students-go-instead,section 7 (the report’s lead),,,
150,8 Everything each report establishes (by topic) — Where the children are,"Who leaves Lunenburg schools, and where they go",97,"Lunenburg children at Monty Tech, the largest single destination",measured,/where-students-go-instead,,,,
151,8 Everything each report establishes (by topic) — Where the children are,"Monty Tech — the assessment, and what sets it","$14,605,342","The single amount the state requires Lunenburg to pay for schools, split between two districts",measured,/monty-tech,section 7 (the report’s lead),,,
152,8 Everything each report establishes (by topic) — Where the children are,"Monty Tech — the assessment, and what sets it","$1,334,521","Billed to Lunenburg for Monty Tech, which is not what a place there costs",measured,/monty-tech,,,,
153,8 Everything each report establishes (by topic) — Where the children are,"Monty Tech — the assessment, and what sets it","$1,334,521","The actual Monty Tech bill, against a forecast that carried it forward at an inflation rate",measured,/monty-tech,,,,
154,8 Everything each report establishes (by topic) — Where the children are,If students leave — what school choice would cost,"$401,700","Leaves the town in year one, if 78 high school students transferred out",hypothesis,/if-students-leave,section 7 (the report’s lead),,,
155,8 Everything each report establishes (by topic) — Where the children are,If students leave — what school choice would cost,$150,How much Lunenburg’s state aid changes if one pupil leaves,measured,/if-students-leave,,,,
156,8 Everything each report establishes (by topic) — Where the children are,If students leave — what school choice would cost,58,Lunenburg residents leaving under school choice in the latest year counted,measured,/if-students-leave,,,,
157,8 Everything each report establishes (by topic) — Where the children are,If students leave — what school choice would cost,70.6%,Fall in children arriving in Lunenburg from other towns,measured,/if-students-leave,,,,
158,"8 Everything each report establishes (by topic) — The households — who they are, and what they pay",Lunenburg by the numbers — who lives here,"1,979 ± 309","1,979 ± 309 residents are 65 or over — 16.8% of the town, on a five-year sample.",measured,/lunenburg-by-the-numbers,section 7 (the report’s lead),,,
159,"8 Everything each report establishes (by topic) — The households — who they are, and what they pay",Lunenburg by the numbers — who lives here,"1,477 ± 198","1,477 ± 198 of 4,529 households have a child under 18 — 32.6% of them.",measured,/lunenburg-by-the-numbers,,,,
160,"8 Everything each report establishes (by topic) — The households — who they are, and what they pay",Lunenburg by the numbers — who lives here,"$72,935 ± $8,677","A household headed by someone 65 or over has a median income of $72,935 ± $8,677.",measured,/lunenburg-by-the-numbers,,,,
161,"8 Everything each report establishes (by topic) — The households — who they are, and what they pay",Lunenburg by the numbers — who lives here,81.3%,"81.3% of occupied homes are owner-occupied — 3,682 households.",measured,/lunenburg-by-the-numbers,,,,
