id,order,label,question,kind,groups,match,qualify,exclude,tags,boards,registered_on,started,closes,status,resolved_on,closed_board,closed_date,closed_article,closed_match,resolved_by,caveat,note
turf-field-study,20,The turf field and track study,Does the town borrow for a feasibility and schematic study of the turf field and track?,project;asset,schools;buildings,turf field|track and|retaining wall,feasibilit|schematic|study|warrant|borrow|design|track|drainage|retaining,,athletics;capital,,2026-09-19,2026-01-21,Town Meeting votes the study; then the study returns,open,,,,,,,"This asks the town to borrow for a STUDY of the field, track, drainage and wall — not for the work itself. What the work would cost is not established anywhere here.",IRREVERSIBLE: the article asks to BORROW. Re-accelerated 16 Sep 2026 (passed 5-0) after riding alongside Kids Kingdom in January.
sewer-pump-procurement,21,The sewer pump station contract,"Does one multi-year contract cover sewer pump operations, maintenance and capital repair?",contract;project,water-sewer-roads,pump station,,,water-sewer,,2026-09-19,2026-09-08,"the Special Town Meeting article, then the award",open,,,,,,,"One multi-year contract would cover operations, maintenance, emergency work and capital repair together. No vendor has been chosen and no price is on the record.","IRREVERSIBLE: single vendor, multi-year, lands on sewer ratepayers."
veterans-exemption,22,The veterans property tax exemption,"Does the veterans property tax exemption increase, and what does it shift onto other taxpayers?",money;rule,what-i-pay,veteran,,,tax-rate,,2026-09-19,2026-09-09,the November Special Town Meeting votes,open,,,,,,,An increase was discussed against the November warrant deadline. Neither the amount nor what it shifts onto other taxpayers has been set.,Fired on the SCHEDULED-STEP clause at one mention -- the November STM warrant deadline.
trust-fund-vacancy,23,Trust fund administration during a vacancy,Who administers the town trust funds when the commission has a vacancy?,rule;office,how-the-town-runs,trust fund,vacanc|continuity|administrat|bylaw|warrant article|breach|term limit,,legal,,2026-09-19,2026-09-10,the warrant article passes,open,,,,,,,A bylaw article about who may administer the town’s trust funds while the commission has a vacancy. It does not change what the funds hold or what they are for.,"The narrowed `office` kind: a deciding post going unfilled, not a routine appointment. A ""breach notice"" is also on the record."
kids-kingdom,40,Kids Kingdom: custody to the town,Does care and custody of the Kids Kingdom playground move from the schools to the town?,asset,buildings;schools,kids kingdom,,,recreation,,2026-09-19,2025-02-05,Town Meeting votes the article,resolved,2026-05-02,town-meeting,2026-05-02,33,kids kingdom,,"Town Meeting moved care, custody and control of part of the land. It did not fund moving or rebuilding the playground, and it did not decide where it goes.","A joint School Committee / Select Board warrant article. Closure is RESOLVED FROM THE VOTE RECORD, not typed here. Started 2025-02-05, when the School Committee was first ""split on the Kids Kingdom move"" -- eight months before the date this thread was first seeded with."
fourth-fire-shift,41,The fourth fire shift,"Does the town fund a fourth fire shift, and out of the override or the regular budget?",service,how-the-town-runs,fourth (fire )?shift|4th shift,,,public-safety,,2026-09-19,2025-09-30,the budget that funds it is adopted,resolved,2026-04-07,town-meeting,2026-05-02,10,balanced.*(operating )?budget|omnibus,,"Article 10 — the whole FY27 budget — passed, and the budget does not itemise the shift. That the fourth shift was retained rests on the Select Board’s record of 16 March 2026, not on this vote.","WHAT THE VOTE SHOWS AND WHAT IT DOES NOT: Article 10 (the FY27 balanced budget) passed, and the budget does not itemise the shift. That the fourth shift was retained rests on the Select Board record of 16 Mar 2026 ('fourth shift retained'), not on this vote. Rule 7: the vote is the fact, the inference is an inference."
middle-school-sports,42,The petition to restore middle school sports,"Are the cut middle school sports and their transportation restored, and paid from what?",money;service,schools,"middle school sports|WRAP|Winter Recovery|citizen.{0,3} petition",sport|athletic|school|WRAP|Winter Recovery|state aid|restore,,athletics,,2026-09-19,2026-07-21,the Special Town Meeting votes the article,resolved,2026-09-03,town-meeting,2026-09-03,3,WRAP|Winter Recovery,,"The money came from the Winter Recovery Assistance Program, a one-time fund. Nothing here establishes that the same source exists next year.","A citizens petition. THE THREAD IS THE PETITION, NEVER THE PETITIONER (rule 8)."
solid-waste-enterprise,43,Trash and recycling: the enterprise fund,"Does trash and recycling move to an enterprise fund, and does that change what residents pay?",money,water-sewer-roads;what-i-pay,solid waste|pay.as.you.throw|recycling program,,,fees,,2026-09-19,2026-01-08,a Town Meeting votes the solid waste enterprise fund article,open,,,,,,,The Finance Committee recommended the article 5–0 on 31 March 2026. What Town Meeting then did with it is NOT in the record we can read — the 2 May 2026 minutes contain no solid-waste vote at all. The FY2026 annual report would settle it.,"CORRECTED 19 Sep 2026. This was filed as resolved on prose I typed ('Article Y ... then carried at Town Meeting'). IT IS NOT IN THE RECORD: the Finance Committee recommended Article Y 5-0 on 2026-03-31, and the 2 May 2026 Annual Town Meeting minutes contain no solid-waste or enterprise-fund vote or topic besides Article 14 (PEG access). What Town Meeting did with it is UNKNOWN to us. -- closes: the FY2026 annual report's Town Meeting proceedings, or the Town Clerk's record."
fy25-school-surplus,44,The FY25 school surplus,"How did a surplus that size arise in the school budget, and does the explanation hold?",money,schools;what-i-pay,surplus,FY ?25|fiscal (year )?2025|school|underrun|end.of.year|surplus figure|variance,"declar\w*[^.]{0,40}surplus|surplus (property|equipment|furniture|vehicle|land|lots)",budget,,2026-09-19,2025-11-19,the financial practices review with UMass Boston returns and is accepted or not,open,,,,,,,"The surplus was explained at the time as a grant and lower utility costs. Nothing we hold tests that explanation, and no vote will settle it — a review of financial practices with UMass Boston is what would.","POLYSEMY: half the hits for ""surplus"" are a stove, two love seats and a 1998 ambulance. ANSWERED, not resolved -- no vote can close this one."
paraprofessional-contract,45,The paraprofessional contract,"When is the paraprofessional contract ratified, and what is in it?",contract,schools;how-the-town-runs,paraprofessional,contract|ratif|negotiat|bargain|MOU|agreement|delay,,contracts-and-unions,,2026-09-19,2026-09-16,the School Committee ratifies the contract,open,,,,,,,"Reratification was passed over and the contract is delayed. Why it is delayed, and what is in it, are not on the public record.","THE CASE FOR THE NON-DECISION TRIGGER: one meeting, and a pass-over of reratification plus ""topics for future discussion"". The old gates missed it entirely."
