dataset,path,rows,columns,grain,what_it_answers,caution,generator
meeting-watch-state.csv,sources/data/meeting-watch-state.csv,12071,board|board_slug|date|kind|file_id|url|first_seen|basis,"one row per (board, date, kind, town file id)","THE WATCHER'S MEMORY -- every agenda and minutes document the town has listed that we already know about, so nothing is ever announced twice. 12,071 rows, 7,411 agendas and 4,660 sets of minutes. Identity is the town's own file id, not a path, not a hash, and not a position in a listing.","`basis` SPLITS THIS FILE IN TWO AND THEY ARE DIFFERENT KINDS OF ROW. 12,065 rows are `seed` -- adopted from what we already held, announcing nothing, and carrying NO `first_seen`, because the day we first saw them is genuinely unknown. Only 6 are `observed`. Reading `first_seen` across the file measures the watcher's own start date, not the town's publishing. This is a record of what the AgendaCenter LISTED, not of what we hold or of meetings held.",scripts/watch_meetings.py
minutes-coverage.csv,sources/data/minutes-coverage.csv,1017,board|year|agendas|minutes|minutes_share|basis,one row per board per year,"HOW MUCH OF THE TOWN'S DECISION-MAKING IS ON THE RECORD -- per board per year, how many agendas the town posted and how many sets of minutes, with the ratio. This is the coverage figure every rule 15a search must quote: a grep that finds nothing prints nothing, and nothing reads as 'nobody said it' when it means nobody said it in the record that exists.","THE DENOMINATOR IS AGENDAS POSTED, NOT MEETINGS HELD, and nothing published reconciles the two -- a meeting can be held with no agenda posted, and an agenda posted for a meeting later cancelled. Say 'minutes against agendas'; calling it 'minutes against meetings held' is a proxy quoted as the thing. `basis` splits the rows: 503 are `town listing` (crawled from the town's own AgendaCenter, the authority on what exists) and 514 are `held` (recomputed offline from what WE hold, a narrower question). Do not sum across the two. And this counts documents, not what is READABLE -- `minutes-searchable.csv` is the denominator for a text search.",scripts/build_minutes_coverage.py
minutes-searchable.csv,sources/data/minutes-searchable.csv,514,board|board_slug|year|listed|held|with_text_file|searchable|unsearchable|image_scan|vector_outlines|blank|extract_failed|unreadable|not_fetched,one row per board per year,"How much of the meeting archive can actually be READ, per board per year -- listed, held, with a text file, searchable, and why each unsearchable document is unsearchable (image scan, vector outlines, blank, extract failed, not fetched). This is the denominator every rule 15a search must quote.","A grep that finds nothing prints nothing, and nothing reads as ""nobody said it"". It means nobody said it IN THE DOCUMENTS THAT CAN BE READ. `searchable` is the only honest denominator; `listed` and `held` are larger and mean different things.",scripts/build_minutes_searchable.py
stated-figures.csv,sources/data/stated-figures.csv,2,fy|metric|amount|stated_on|stated_by|basis|doc_id|source_ref|quote|supersedes|note,one row per figure stated in public by a named person on a date,"Figures officials stated publicly, with the quote and the document -- so a number argued at a meeting can be set beside what the data produces.","A figure stated is evidence of what was SAID, never of what is true. `supersedes` records where a later statement replaced an earlier one.",
youtube-boards.csv,sources/data/youtube-boards.csv,40,board_slug|board_name|meetings_folder|body_type|names_seen_in_titles|basis,one row per public body named in the video titles,"THE BOARD REGISTRY behind the video classification: the 40 bodies whose names appear in PEG-channel titles, each with the AgendaCenter folder it maps to, what kind of body it is (33 town, 3 school, 2 state, 1 district, 1 federal), every spelling seen in a title, and `basis` -- the argument that those spellings are one body. Where to look before assuming 'Selectmen' and 'Select Board' are two boards.","`names_seen_in_titles` IS A LIST OF SPELLINGS, INCLUDING TYPOS ('Selec tBoard', 'Fnance Committe Meeting'), because titles are stored verbatim. `basis` is OUR argument that a set of spellings is one body -- it is judgement, recorded so it can be disputed, not something the town published. `meetings_folder` can be empty for a body with no AgendaCenter folder (Town Meeting, for one), which is not a body that does not exist.",scripts/build_youtube_classification.py (registry maintained by hand; the classifier asserts every board it names exists here)
youtube-classification-overrides.csv,sources/data/youtube-classification-overrides.csv,0,video_id|kind|boards|category|meeting_date|corrected_by|corrected_at|why,one row per human correction to a video classification,"HUMAN CORRECTIONS to the video classification, keyed on video id, with who corrected it, when, and why. It is READ by the classifier and NEVER WRITTEN by it, so an improvement to the classification cannot silently discard a correction somebody made. The count applied is printed on every run, including when it is zero.","EMPTY TODAY -- 0 rows. That is nobody having corrected anything yet, not a classification confirmed correct. A row here OVERRIDES the model's reading for that video and nothing re-derives it, so a correction that later stops being right will keep being applied until somebody removes it.",hand-edited; read by scripts/build_youtube_classification.py
youtube-title-classification.csv,sources/data/youtube-title-classification.csv,1594,title_stem|kind|boards|category|note,one row per distinct video title stem,"OUR READING OF EACH VIDEO TITLE -- one row per distinct title stem (the title with the date stripped), saying whether it is a `meeting` (298), `not_a_meeting` (1,282) or `undetermined` (14), which boards it names, and a category. This is where the judgement lives, so improving it never means re-fetching anything from the channel.","A JUDGEMENT ABOUT A STRING, NEVER THE CHANNEL'S OWN LABEL. `undetermined` is a real and deliberate outcome -- a title we could not read -- and it must not be folded into either of the others; the alternative to representing something correctly is recording that we could not. `not_a_meeting` is a positive finding, not a leftover: the channel's sixth commonest stem is `St. Boniface Mass`. `boards` can hold SEVERAL boards for a tri-board meeting; the per-video board rows are in `youtube-video-boards.csv`. Row count is TITLE STEMS, not videos.",hand-classified; read and asserted by scripts/build_youtube_classification.py
youtube-transcript-index.csv,sources/data/youtube-transcript-index.csv,0,video_id|board_slug|meeting_date|path|segments|seconds|language|generated|chars|fetched_at,one row per video whose captions were fetched,"WHICH MEETING RECORDINGS HAVE A TRANSCRIPT -- the video id, the board, the meeting date, the path to the caption JSON under `sources/data/youtube-transcripts/`, how many segments and seconds it covers, the language, whether the captions were auto-generated, and when they were fetched.","A TRANSCRIPT IS A FINDING AID AND NEVER A SOURCE. An auto-generated caption is a machine's rendering of audio and it mangles exactly what this project cares about -- 'fifteen hundred', '$1,500' and '$50' are the same sound to a caption model. Quote the video at that timestamp, or the document the transcript points you to; never a figure off a caption. `generated = auto` marks captions nobody typed. Barely populated and actively growing, so the row count in this registry lags the file: a video absent from the index is one nobody has fetched yet, not one with no captions.",scripts/fetch_youtube_transcripts.py
youtube-video-boards.csv,sources/data/youtube-video-boards.csv,2873,video_id|board_slug|board_name|title_stem|meetings_folder|in_agenda_center|meeting_date|classification_source|classified_by|classified_at,"one row per (video, board) pair","WHICH BOARD EACH MEETING RECORDING IS OF -- one row per video per board, so a tri-board meeting is three rows rather than a `board_2` column. Carries the board slug and name, the title stem it was read from, the AgendaCenter folder, whether that board is in the AgendaCenter at all, the meeting date, and who classified it and when.","ONE VIDEO CAN HAVE SEVERAL ROWS, so counting rows counts board-appearances and not meetings -- 2,873 rows against 2,857 videos classified as meetings. The board is OUR reading of a title (`classification_source`, `classified_by`), not something the channel published. `meeting_date` is read out of the title, which is the day the meeting was held rather than the day the recording was posted; a video whose title carries no date has none here.",scripts/build_youtube_classification.py
youtube-video-classification.csv,sources/data/youtube-video-classification.csv,4671,video_id|channel_rank|title|url|title_stem|kind|category|board_count|meeting_date|date_source|date_flag|note|classification_source|classified_by|classified_at,one row per video,"WHAT EACH PEG-CHANNEL VIDEO IS -- all 4,671 videos with our reading applied: `meeting` (2,857), `not_a_meeting` (1,800) or `undetermined` (14), the category, how many boards it names, the meeting date and where that date was read from (`date_source`), plus the title verbatim and the URL. The bridge between the raw channel index and the board-level rows.","EVERY COLUMN AFTER `url` IS OURS, and `title` is the channel's, verbatim, typos included. `meeting_date` is derived from the title -- `date_source` says how -- and 2 rows carry a `date_flag` saying the date falls after the index date and the title may carry a typo. A recording is not minutes: it is an account of a meeting, and the town posted minutes for a fraction of the meetings it held, which is why this exists. `undetermined` must stay its own outcome and never be squeezed into the nearest slot.",scripts/build_youtube_classification.py
youtube-videos.csv,sources/data/youtube-videos.csv,4671,channel_rank|video_id|title|url|uploaded|duration_s|view_count|indexed_at,one row per video the channel published,"THE PEG CHANNEL'S VIDEO INDEX, as close to what the channel published as we can get: video id, the title EXACTLY as posted, the URL, duration in seconds, view count, and `channel_rank` -- the channel's own ordering, 0 = newest. No classification and no board: what a video is for is a judgement about a string and it is made in `youtube-title-classification.csv` instead.","`uploaded` IS EMPTY ON ALL 4,671 ROWS -- a flat extraction returns no upload date, so `channel_rank` is the only chronology this file has, and sorting by `uploaded` sorts by nothing. The dates ARE in the titles and are read out in the classification files, where they are the day the meeting was HELD rather than the day somebody posted the recording; the two are not the same and this column is named for the second. Titles are verbatim -- not stripped, not normalised, not title-cased. THE RECORDINGS THEMSELVES ARE NOT ARCHIVED and never will be: this is an index, and a link to somebody else's platform is not a copy.",scripts/fetch_youtube_index.py
