table_name,role,scope,tier,grain,what_it_answers,caution,default_query
dese_measure,fact,state,,one row per district per year per measure,"The state's published measures for SEVEN districts -- Lunenburg and the six peers -- per year, SY2009-SY2025: enrollment, staffing FTE, per-pupil spending by function, demographics and MCAS. Each value carries whether it reconciles to DESE's own printed total.","SEVEN districts, not every one, despite what this row said until 8 September 2026 -- the RADAR workbook was scoped down so the published database would fit. `dese_function_statewide` is the all-district view. DESE dataset `er3w-dyti` publishes these same measures for all 421 districts and agrees with this table on all 2,982 values; percentages are stored here as 0.57 where DESE prints 57.0.","SELECT fy, district, measure, value, reconciles FROM dese_measure WHERE ""group""='Expenditures Per Pupil' AND fy=2025 ORDER BY district, measure LIMIT 1000"
dese_radar,fact,state,,one row per district per year per measure,"DESE's ALL-FUNDS per-pupil expenditure figures for every district. All funds means grants and revolving funds are included, so these are NOT comparable with a general fund appropriation.","All-funds, so NOT comparable with the town's general fund appropriation.",
document,provenance,archive,,one row per source document,"One row per source document: its archive path, how it reached us, its publisher URL, whether that link still opens (`link_state`), whether our copy still matches the publisher's (`copy_state`), and both checksums. Also which columns a workbook HIDES from a reader.",`link_state` says whether the publisher's copy still opens; `copy_state` whether it still matches ours.,
extraction_plan,provenance,archive,,one row per planned extract,"What is planned to be read out of the annual reports and what state each item is in — including items deliberately not attempted, and why.", and what state each is in.,
fiscal_period,dimension,both,,one row per MUNIS period,"What each MUNIS accounting period means and how many months of the year had elapsed. Period 13 is the year-end close after the lapse period, not a thirteenth month.","Period 13 is the year-end close after the lapse period, not a thirteenth month.",
free_cash_proof,fact,town,,one row per line of the state's proof,"The state's own line-by-line proof of certified free cash, for nine towns — every component with its role in the calculation. Dollars.", for nine towns.,
fund,dimension,both,,one row per MUNIS fund,"One row per MUNIS fund: its number, its name, what kind of fund it is and what restricts it. No money.", with its kind and restriction.,
fund_1301_cash_journal,fact,school,3,one row per transaction,"TRANSACTIONS — the athletics revolving fund line by line: effective and posting dates, journal, references, vendor, amount, running balance, check and warrant numbers, and the comments the clerk typed. The only transaction-level data in the archive, obtained by records request.", from a records request.,
fund_activity,fact,both,1,one row per fund per year per period,"Per fund per period: opening balance, revenue in, salaries, other expenditure, encumbered and closing balance. FY2026 period 9 only — and `opening_balance` is NULL for every one of the 61 funds.", spent and holds.,"SELECT a.fy, a.period, a.fund, f.name, f.kind, f.restriction, a.revenue, a.salaries, a.expenditure, a.encumbered, a.closing_balance FROM fund_activity a LEFT JOIN fund f USING (fund) ORDER BY a.closing_balance DESC LIMIT 1000"
grant_award,fact,school,,one row per grant per year,"Grant AWARDS: name, amount in dollars, who holds it, and the fiscal year — except one ESSER award that genuinely spans FY21–24, which is why `fy` is TEXT here.", by name and amount.,
grants_history,fact,school,,one row per grant per year,"The same awards with their source addresses and checksums, plus whether documents disagree about an amount and whether it is ESSER money.",`fy` is TEXT — see grant_award.,
ledger_snapshot,fact,both,3,one row per account per year per period per document,"BOTH revenue and expense accounts from the town's MUNIS books, told apart by `account_type` — revenue is stored NEGATIVE. Six money measures per row: original appropriation, transfers, revised, expended, encumbered, available, plus percent used. Two grains in the same table (`level`): 67 department roll-ups and 916 detail accounts. FY2026 only, at two periods — 9 carries the department rows, 12 the account rows.", at a moment in the year.,"SELECT l.fy, l.period, l.account_id, a.name, a.fund_name, a.dept, a.function, a.account_type, a.level, l.original, l.revised, l.expended, l.encumbered, l.available FROM ledger_snapshot l JOIN account a USING (account_id) ORDER BY l.fy, l.period, l.account_id LIMIT 1000"
line_history,fact,school,2,one row per line per year per stage,"Every budget line × year × stage as EXTRACTED, before disagreements between documents are resolved. Dollars. This is the raw reading; `budget_figure` is the settled one.", every year,
line_history_coverage,provenance,school,,one row per source document,"Not figures — a report on extraction. Per source document: how many data rows, how many carried a usable layout, how many fell short of the expected column count, and why a document was or was not usable.",,
line_history_disagreements,provenance,school,,one row per disagreeing reading,"One row per disagreeing READING: where two documents state different dollar amounts for the same line-year, both values are kept with their source and the spread between them. Nothing here is resolved.",Kept rather than resolved. Which document is right is often not established.,
lps_budget_lines,fact,school,2,one row per budget book line,"The district's budget book in ITS OWN shape: one row per line with every year's column side by side (FY23 actual through the four FY27 scenarios) rather than unpivoted. Includes the workbook's own comments column, which is where the district explains a line to itself.", in its own shape and column order.,
money_assumptions,classification,both,,one row per assumption,"Every assumption the money model rests on, what it rests on, and what single document would settle it.", with what would settle it.,
money_classification,classification,both,,one row per revenue account or fund or department,"Our model, not measurement. One row per revenue account, fund or department: what we classified it as, HOW that was established, and WHY. 252 rows covering every money node in the school and town diagrams.",`how` and `why` carry the basis so a classification can be argued with.,
money_edges,classification,both,,one row per traced edge,"Where a restricted fund's money is PERMITTED to go, with the statute or grant award that permits it. An edge is a presumption about purpose, never an observation of spending.","An edge is the statute or grant award — a PRESUMPTION about purpose, never an observation of spending.",
money_gaps,classification,both,,one row per gap,"The honest list of what CANNOT be answered — per side (money in, money out), what is missing and why the published documents do not close it.",This table is the honest list of what cannot be answered.,
munis_ledger,fact,both,3,one row per account per report,"The MUNIS chart of accounts exactly as DELIVERED, before our normalisation — including the report parameters (`totals_only`, `suppress_zero`) that decide what a report shows and therefore what is missing from it.",,
ood_tuition_history,fact,school,2,one row per year per stage,"Out-of-district special education tuition in DOLLARS, split private vs collaborative, per year per stage. Not a count of children — `placement_counts` is that, and the two do not divide into each other.", private and collaborative.,
placement_counts,fact,school,,one row per year,"CHILDREN, not dollars. Students placed outside the district, split collaborative / day / residential, measured on 1 March each year from SIMS Report 7. FY2013–FY2025. Carries its own checks: whether the parts sum to the total, and whether each year agrees with the next year's restatement of it.", split collaborative/day/residential.,
rate_register,fact,both,,one row per rate,"Every rate and fee the model uses: the value, what kind of value it is, when it was set, when it expires, its source document and cell reference, and whether the model actually uses it.", with where it was set.,
report_anomalies,provenance,archive,,one row per anomaly,"Things found while reading the annual reports that need a person: a total that does not tie, a heading that moved, a column that vanished.",,
report_appropriations,extract,town,1,one row per printed line,"APPROPRIATIONS as the annual reports print them — the largest extract here, 4,665 rows across sixteen years. Values sit in ORDINAL columns (v1..v8) whose meaning changes page to page; `column_meaning` names them where the table states an identity that fixes them, and says `not established` where it does not.",v1..v8 are ORDINALS. Read `column_meaning` and split on `status`.,
report_capital_projects,extract,town,,one row per printed line,"Capital project funds as the annual reports print them: appropriated, expended, encumbered and balance, per article.",v1..v8 are ORDINALS. Split on `status`.,
report_debt,extract,town,,one row per printed line,"Outstanding DEBT and repayment schedules as the annual reports print them. Dollars, town-wide — school building debt is inside these figures and is not separated out.",v1..v8 are ORDINALS. Split on `status`.,
report_dept_activity,extract,town,,one row per printed line,"Departmental activity tables — permits issued, inspections done, cases handled. Mostly COUNTS rather than dollars, and what is counted differs by department and by year.",v1..v8 are ORDINALS. Split on `status`.,
report_elections,extract,town,,one row per printed line,"Election results as the annual reports print them: candidates, offices and vote counts in ordinal columns.",v1..v8 are ORDINALS. Split on `status`.,
report_enrollment_mcas,extract,school,,one row per printed line,Enrollment counts and MCAS results as the annual reports print them. Mixed measures in ordinal columns; read `column_meaning` before using any of them.,v1..v8 are ORDINALS. Split on `status`.,
report_gross_wages,extract,town,,one row per printed line,"GROSS WAGES paid per named employee per year, as the annual reports print them. 3,545 rows. Actual pay rather than budget, including overtime and details.",v1..v8 are ORDINALS. Split on `status`.,
report_monty_tech,extract,school,,one row per printed line,"Figures for Montachusett Regional Vocational Technical School as the annual reports print them. A DIFFERENT DISTRICT: Lunenburg pays it an assessment, and its figures must never be added to Lunenburg's own schools.",Monty Tech is a DIFFERENT DISTRICT. Never add it to Lunenburg's schools.,
report_officials,extract,town,,one row per printed line,Names and offices of town officials as each annual report lists them. No money.,v1..v8 are ORDINALS. Split on `status`.,
report_trust_funds,extract,town,,one row per printed line,Trust fund balances and activity as the annual reports print them.,v1..v8 are ORDINALS. Split on `status`.,
report_valuation,extract,town,,one row per printed line,"Assessed property VALUATION by class, as the annual reports print it. Dollars — and the base the tax levy is computed on.",v1..v8 are ORDINALS. Split on `status`.,
report_vital_records,extract,town,,one row per printed line,"Counts of births, marriages and deaths as the annual reports print them.",v1..v8 are ORDINALS. Split on `status`.,
revenue_history,fact,town,1,one row per revenue source per year,"The checked subset of the above joined to our classification: the printed name, our normalised key, what KIND of revenue it is (levy, state aid, local receipt, transfer, one-time), the amount, and the document and page it came from. Five years.", with our classification of what KIND it is.,
role_classification,dimension,school,,one row per printed roster title,"Our classification of each printed roster title into a role category and grade, with how it was classified. Judgement, recorded so it can be disputed.",,
school_special_revenue_fy26_q3,fact,school,1,one row per school fund,"The schools' own funds at one moment (FY26 period 9): per fund, revenue received, salaries paid, other expenditure, encumbered, and the balance left. Dollars.",,
special_revenue_funds,extract,town,1,one row per fund per year,"Every fund OUTSIDE the general appropriation, FY2011–FY2025: balance brought forward, receipts, disbursements, balance carried forward. Grants, revolving funds and gifts that pay for real staff and appear nowhere in the appropriation. Dollars.", fifteen years,
sped_para_history,fact,school,2,one row per year per stage,"Budgeted DOLLARS for special education paraprofessionals, split by school, per year per stage. A budget line, never a headcount.","A budget line, not a headcount.",
sped_teacher_history,fact,school,2,one row per year per stage,"Budgeted DOLLARS for special education teachers, split by school, per year per stage. A budget line, never a headcount.","A budget line, not a headcount.",
sped_transport_history,fact,school,2,one row per year per stage,"Budgeted DOLLARS for special education transportation, per year per stage.",,
staff_position_map,dimension,school,,one row per printed roster title,"A lookup, not data: each printed roster title, how many times it was seen, and the position it maps to.",,
staff_roster_counts,fact,school,,one row per school per position per year,"Counts of the names above, per school × position × year. A count of names the town printed. It is not a staffing level and cannot be turned into one.","A count of NAMES, with no FTE and no funding source. It is not a staffing level.",
staff_roster_entries,fact,school,,one row per person per year,"PEOPLE — one row per name the town printed, per year, with the school, the page, the printed job title and our classification of it. FY2011–FY2025, 3,815 entries. No FTE, no salary, no funding source, and undated within the year.", name by name,
stated_figure,fact,both,,one row per figure the town stated,"Figures the town or district ASSERTED in their own words, with the quote, who said it, when, and what it supersedes. Claims, kept as claims.", with the quote.,
total_expenses_history,fact,school,1,one row per year per stage,"One dollar total per year per stage — the district's own stated total expenses, as each document states it.",,
total_salaries_history,fact,school,1,one row per year per stage,One dollar total per year per stage — the district's own stated total salaries.,,
town_ledger_fy26_q3,fact,town,1,one row per department,"The town's 67 departments at FY26 period 9: appropriation, transfers, revised, expended, encumbered, available and percent used. EXPENSE side only, department grain only.", by department.,
variance_by_group,derived,both,2,one row per function group,"Computed, not read: per function group, how far spending ran from budget across years — budgeted, spent, net, gross, churn, and the best and worst years.", across years.,
workbook_figure,fact,school,2,one row per worksheet row per year per column,"The FY27 budget workbook unpivoted to one row per worksheet row × year × column, so every figure is quotable by its spreadsheet coordinate. `column_kind` says which printed column — final_budget, actual_to_date, encumbered_to_date. Dollars only.", every cell quotable by its row.,"SELECT w.fy, w.column_kind, w.row_kind, w.row, b.label, w.value FROM workbook_figure w LEFT JOIN budget_line b USING (line_key) ORDER BY w.fy, w.row LIMIT 1000"
table_semantics,provenance,archive,,one row per table in this database,"This page's own source. One row per table: its role, whose money it is, how finely it resolves money, its grain, what it holds, and what goes wrong if it is used carelessly.","Self-describing, and checked both ways: a table with no row here fails the build, and a row naming a table that no longer exists fails it too.",
column_glossary,provenance,archive,,one row per DISTINCT column name across the whole database,"One row per DISTINCT column name across the whole database: what it means, its unit, whether it is published or ours, and the caution attached to it.","Keyed on the NAME, not on table plus name, because `v1` and `status` mean the same dangerous thing everywhere they appear. Where a name genuinely differs by table, the table entry says so.",
special_revenue_read,fact,both,1,one row per fund per year,"The special revenue schedule READ from the rendered page rather than OCR'd: balance brought forward, total receipts, total disbursements, balance carried forward, per fund. **The only version of this table that ties to its own printed grand total** — FY2022, 167 funds, all four columns to the penny and every row balancing.","A figure read off an image is a READING, not a published number — same status as the OCR's. It is trustworthy because the report's own printed total and the table's own identity both check it, not because a model produced it. Years that do not tie are not in here.","SELECT fy, page, [group], fund, forward, receipts, disbursements, carried, row_ties FROM special_revenue_read ORDER BY fy, page, rowid LIMIT 1000"
special_revenue_printed_totals,provenance,both,,one row per edition,"The GRAND TOTAL each annual report PRINTS for the special revenue schedule, quoted with its page. Four columns.","This is the independent check on `special_revenue_read`, so it must be read off the page and never computed from our own rows — the OCR misread this very figure by $1,010 and the reconciliation was measured against it for months.",
balance_sheet,fact,both,1,one row per line per fund column per year,"What the town HOLDS, read from the COMBINED BALANCE SHEET — assets, liabilities and fund equity across six fund columns (general, special revenue, enterprise, capital project, trust and agency, long-term debt). Everything else in this archive measures money MOVING; this is the only table that measures what is sitting there.","Read from the page, like `special_revenue_read`. It is trusted because three checks hold: each column foots to its own printed total, the sheet's identity (liabilities + fund equity = assets) holds per column, and special revenue + enterprise fund equity ties to the special revenue schedule's carried-forward total — an INDEPENDENT document. One printed sheet does not balance itself (FY2019 trust and agency, $657,297.35 apart); that is the town's print, recorded not corrected.","SELECT fy, section, line, fund, amount FROM balance_sheet ORDER BY fy, section, line LIMIT 1000"
balance_sheet_printed_totals,provenance,both,,one row per printed total per fund column per year,"The totals each balance sheet PRINTS — total assets, total liabilities, total fund equity — quoted with the page they appear on.","The independent check on `balance_sheet`, so it must be read off the page and never computed from our own rows.",
enterprise_balance_sheet,fact,both,1,one row per line per fund column per printing per year,"What the four ENTERPRISE funds hold at 30 June — Sewer, Water, Solid Waste and PEG Access, side by side, with a memorandum-only total column. Read from the COMBINING BALANCE SHEET — ENTERPRISE FUNDS, which is the only balance sheet FY2024 and FY2025 print; neither report contains the town-wide combined balance sheet `balance_sheet` holds for FY2011–FY2023.","RATEPAYER MONEY. Sewer and water user charges, betterments, trash fees and cable franchise money — none of it is available to the town's general operations and none of it is a tax dollar. This is NOT an extension of `balance_sheet`: that table's `enterprise` value is one of six fund-type COLUMNS on a different sheet, and the two must never be unioned. FY2024 prints the same sheet TWICE (printed pages 21 and 28), so `printing` is 1 or 2 and must be collapsed on before anything is summed — summing across it doubles the money. FY2024's memorandum column is $102,000.00 out on two offsetting lines; that is the town's print, recorded not corrected. Only cells that print a figure are recorded; the sheet's 0.00 and '-' template cells are not rows here.","SELECT fy, section, line, fund, amount FROM enterprise_balance_sheet WHERE printing = 1 ORDER BY fy, section, line LIMIT 1000"
enterprise_balance_sheet_printed_totals,provenance,both,,one row per printed total per fund column per printing per year,"The totals the enterprise balance sheet PRINTS — Total Assets, Total Liabilities, Total Fund Equity, Total Liabilities and Fund Equity, and the sheet's own PROOF row — quoted with the raw cell text and the page.","The independent check on `enterprise_balance_sheet`, so it must be read off the page and never computed from our own rows. The PROOF row is the sheet's own self-check and is what a reading is reconciled to. FY2025 prints its Proof as '(0.00)' and '-' in different columns; the amount recorded is 0.00 and the raw glyph is in `quote`.",
peg_access,fact,both,2,one row per printed expense line per year,"What the town's PEG Access / Public Access Cable operation spent, line by line, FY2015-FY2025, read from the expense table each annual town report prints. From FY2020 the report also prints a `% of Expense` column and it is recorded here beside the amount.","CABLE FRANCHISE MONEY, not tax money. Comcast pays it under the Town's cable licence; from FY2020 it sits in a PEG Access enterprise fund established under MGL c.44 s53F1/2 and is appropriated by its own Town Meeting article. None of it is available to general operations. The line LIST changes: `Insurance` disappears after FY2020 and `Indirect Costs` appears, so a line-by-line series across that boundary is comparing different things. FY2017's ten lines add to 450.01 MORE than that report's own printed TOTAL; the total is what the rest of the record uses. Join to `peg_access_printed_totals` for the total each year actually prints -- never sum these rows and call it the year's expenses without saying so.","SELECT fy, line, amount, pct FROM peg_access ORDER BY fy, ordinal LIMIT 1000"
peg_access_printed_totals,provenance,both,,one row per printed figure per statement per year,"The REVENUE vs EXPENSES statement each report prints, row by row in printed order, plus the line-item TOTAL and what the prose says the revenue was -- each with the raw cell text, the printed page and the PDF index.","`total_row` is the label the page prints and it is NOT unique: FY2019's statement carries two rows labelled `Subtotal`. Use `ordinal`. The rows do not mean the same thing across years -- FY2015-FY2019 `Starting Balance` is the prior year's Ending Balance, FY2021 and FY2025 it is the BUDGET, and FY2022 has no balance at all, so `TOTAL` there is one year's surplus and not a fund balance. `precision` says whether the statement is printed in cents or whole dollars; FY2024 and FY2025 are in dollars while the expense table beside them is in cents.","SELECT fy, ordinal, total_row, amount, precision FROM peg_access_printed_totals WHERE statement = 'revenue_vs_expenses' ORDER BY fy, ordinal LIMIT 1000"
peg_access_identities,provenance,both,,one row per arithmetic statement each PEG statement makes about itself,"The arithmetic the printed statement states about itself, written over the row ORDINALS in `peg_access_printed_totals` -- `1 + 2 = 3` and so on. It is transcribed from the page, because the arithmetic changes every few years.","This is what `verify_peg_access.py` recomputes, and it is also a completeness check: every printed row must be reached by some identity. FY2020's row 5 is not, and that is recorded as a printed defect rather than removed.","SELECT fy, identity, note FROM peg_access_identities ORDER BY fy, identity LIMIT 1000"
dese_function_expenditure,fact,school,2,one row per district per year per function code per level,"DESE's spending by function code with the GENERAL FUND and GRANTS/REVOLVING money in separate columns, SY2009-SY2025, for Lunenburg and its six peers. The only published split of the two in this archive: Lunenburg SY2025 shows $478,097 of grant and revolving money against function 2330, Paraprofessionals, beside $1,338,477 of general fund.","Filter on `level` before aggregating ANYTHING. The source puts rollups beside detail and nothing in its column names says which is which -- summing every Lunenburg SY2025 row gives $117,996,913 against an in-district total of $27,903,187. level='total' is TTPP; level='rollup' is IIII and OODD; level='category' is the ten in-district categories plus ODTR and COMM; level='detail' is the printed function codes, plus TUIT, which has no category row. ODTR is already inside OODD -- adding it again double counts -- and its detail is only ever code 9130, a component and not the whole, which is what `reconciles='partial'` means. This is DESE's definition of spending, all funds, and it is NOT the town's appropriation; it must never be subtracted from one. A function code is not a budget line and not a post, so this bounds the funding-source question rather than settling it.","SELECT fy, district, func_cat_code, func_desc, gen_fund, grants_revolving, total, per_pupil, reconciles FROM dese_function_expenditure WHERE level='category' AND lea='01620000' AND fy >= 2021 ORDER BY fy DESC, total DESC LIMIT 1000"
dese_function_statewide,fact,school,3,"one row per year per function code per level, across every Massachusetts district","Where Lunenburg sits among all Massachusetts districts on per-pupil spending, function by function, SY2009-SY2025 -- min, quartiles, median, max, Lunenburg's own figure and its rank. Also the statewide dollar totals and the share of each function paid by grants and revolving money rather than the general fund.","Read the denominator before quoting a rank. `districts` is the denominator and it INCLUDES charter and virtual districts, which are in DESE's file and are not municipal school districts. `per_pupil_basis` says on every row whether a per-pupil figure exists at all: DESE prints 0 against every out-of-district row, so the quartiles are blank there rather than a median of zeros. Filter on `level` here too -- a category and its own detail are separate rows.","SELECT fy, func_cat_code, func_desc, districts, per_pupil_median, lunenburg_per_pupil, lunenburg_rank_of_districts, grant_share FROM dese_function_statewide WHERE level='category' AND fy=2025 ORDER BY per_pupil_median DESC LIMIT 1000"
dese_teacher_program_area,fact,school,2,one row per organisation per school year,"Teacher FTE split into general education, special education, career/technical and English learner, per state, district and school, SY2008-SY2026, for Lunenburg and its six peers. This is where Lunenburg's special education teacher FTE falls from 18.5 to 2.0 while its total FTE holds flat.","Filter `org_level` before summing ANYTHING: state, district and school rows sit in one table. A DISTRICT ROW IS NOT THE SUM OF ITS SCHOOL ROWS -- staff with no school assignment have a district row and no school row, and the gap reaches several hundred FTE in the largest districts, so the two must not be added or differenced. FTE here is EPIMS FTE, defined per ASSIGNMENT rather than per person, so it is not comparable with a budget line that pays whole salaries. The sped collapse is the signature of RECODING; nothing here establishes that staff left.","SELECT fy, org_name, org_level, gen_ed_fte, sped_fte, career_tech_fte, el_fte, total_fte, reconciles FROM dese_teacher_program_area WHERE lea='01620000' AND org_level='district' ORDER BY fy DESC LIMIT 1000"
dese_teacher_subject,fact,school,3,one row per organisation per subject per school year,"Teacher FTE by subject, with the share licensed, the share teaching in field, the share experienced and the students-per-teacher ratio, SY2008-SY2026.","`teacher_fte` IS AN FTE even though DESE names the column `TCHR_CNT`. Filter `subject_level`: `all` is every teacher, `group` is `Core-All Subjects` and `Total Non-Core Academic Subjects` which are groups of the subjects beside them, and the members therefore DO NOT PARTITION -- summing subjects double counts. `students_per_teacher` is parsed from the sentence DESE prints, which is kept beside it in `student_teacher_ratio_printed`. A SUBJECT ABSENT FROM THIS TABLE for an organisation and year we hold is a PUBLISHED ZERO, not a gap: rows with no FTE at all are not written, and they outnumber the real ones.","SELECT fy, subject, subject_level, teacher_fte, licensed_pct, in_field_pct, student_teacher_ratio_printed FROM dese_teacher_subject WHERE lea='01620000' AND org_level='district' AND fy=2026 ORDER BY teacher_fte DESC LIMIT 1000"
dese_teacher_grade_subject,fact,school,2,"one row per organisation per subject per school year, FTE split across six grade bands","Teacher FTE by grade band AND subject AND school. This breaks a limit recorded here as structural: the town's staff rosters give grade detail with no FTE, and DESE elsewhere gives FTE with no grade. This gives both.","Two level columns and both matter: `org_level` and `subject_level`. Summing every subject for one organisation counts each teacher about three times over -- the build asserts that it would, so a lost level column fails there rather than in your query. `agrees_with_teacher_subject` is written on the `All` rows only and says whether this dataset and `dese_teacher_subject` state the same total FTE for that organisation; where they do not, BOTH are kept and neither corrects the other. A SUBJECT ABSENT FROM THIS TABLE for an organisation and year we hold is a PUBLISHED ZERO, not a gap -- rows where every grade band and the total are nought are not written, and they outnumber the real rows two to one. That is the opposite of the usual reading here, which is why it is said twice. `printing` is part of the key: DESE publishes the same organisation, subject and year twice with different figures in a small number of cases, and both are kept.","SELECT fy, subject, pk_2_fte, grade_3_5_fte, grade_6_8_fte, grade_9_12_fte, multi_grade_fte, total_fte, reconciles FROM dese_teacher_grade_subject WHERE lea='01620000' AND org_level='district' AND fy=2026 AND total_fte > 0 ORDER BY total_fte DESC LIMIT 1000"
dese_educator_workforce,fact,school,2,one row per district per race/ethnicity per job class per school year,"HEADCOUNT by job class -- Administrator, Teacher, Paraprofessional, Other Licensed, Other Non-Licensed -- with hires and retention, SY2021-SY2023. The only DESE table here that counts administrators and paraprofessionals as PEOPLE rather than as FTE or as dollars.","`race_level` is the level column and getting it wrong doubles every figure. `All Educators` is a TOTAL row sitting beside the seven reported races; summing the whole job class gives exactly twice the truth, and this project's own notes recorded 118 paraprofessionals and 38 administrators for SY2023 that way when the file holds 59 and 19. There is no all-job-classes row, so a district total is the sum of the five `race_level='all'` rows and no published figure states it. Headcount is not FTE: a half-time director and a principal are one each. Three years is a thin series on a base of tens, and a reclassification would look identical to a change in staffing.","SELECT fy, job_class, educators_headcount, hires_headcount, retained_headcount, retained_pct FROM dese_educator_workforce WHERE lea='01620000' AND race_level='all' ORDER BY fy DESC, educators_headcount DESC LIMIT 1000"
dese_enrollment,fact,school,1,one row per organisation per school year,"Enrollment by grade and by selected population -- English learner, low income, economically disadvantaged, high needs, students with disabilities -- per state, district and school, back to SY1992. The denominator for nearly every rate on this site.","Filter `org_level`. `swd_cnt` is a published count of students with disabilities and it agrees exactly with `dese_sped_program` for Lunenburg SY2026; it does NOT agree with the denominator the staffing ratios in `dese_sped_indicator` use, which is twelve lower in the same year. A per-pupil figure is a division by a count whose definition has to be stated with it -- DESE publishes at least four different counts of Lunenburg's children and none of them equal, see money_gaps.","SELECT fy, org_name, org_level, total_cnt, swd_cnt, swd_pct, econ_disadvantaged_pct, el_cnt FROM dese_enrollment WHERE lea='01620000' AND fy >= 2020 ORDER BY fy DESC, org_level, org_name LIMIT 1000"
