fy,doc_date,doc_title,stage,block,direction,conditional_on,printed,position,school,school_printed,fte,amount,consequence,page,doc_text,doc_pdf,sha256,basis
2020,2019-04-03,"Superintendent’s Recommended FY20 Budget, budget hearing 3 April 2019",recommended budget as presented for adoption,Superintendent’s Recommended FY20 Budget (3.0%),addition,,Central Office Secretary (1.0 FTE),Central Office Secretary (1.0 FTE),district,central office,1,,,23,district-budget/text/superintendent-s-recommended-fy20-budget-presentation.txt,district-budget/docs/superintendent-s-recommended-fy20-budget-presentation.pdf,b9542c0f02c48dddda4b71e5856c421ec7c1ec2df6cc3b135e1c6d2663409098,stated
2020,2019-04-03,"Superintendent’s Recommended FY20 Budget, budget hearing 3 April 2019",recommended budget as presented for adoption,Superintendent’s Recommended FY20 Budget (3.0%),addition,,Grade 1 Teacher (1.0 FTE),Grade 1 Teacher (1.0 FTE),not stated,,1,,,23,district-budget/text/superintendent-s-recommended-fy20-budget-presentation.txt,district-budget/docs/superintendent-s-recommended-fy20-budget-presentation.pdf,b9542c0f02c48dddda4b71e5856c421ec7c1ec2df6cc3b135e1c6d2663409098,stated
2020,2019-04-03,"Superintendent’s Recommended FY20 Budget, budget hearing 3 April 2019",recommended budget as presented for adoption,Superintendent’s Recommended FY20 Budget (3.0%),addition,,Paraprofessionals (5.0 FTE)*,Paraprofessionals (5.0 FTE),not stated,,5,,,23,district-budget/text/superintendent-s-recommended-fy20-budget-presentation.txt,district-budget/docs/superintendent-s-recommended-fy20-budget-presentation.pdf,b9542c0f02c48dddda4b71e5856c421ec7c1ec2df6cc3b135e1c6d2663409098,stated
2020,2019-04-03,"Superintendent’s Recommended FY20 Budget, budget hearing 3 April 2019",recommended budget as presented for adoption,Superintendent’s Recommended FY20 Budget (3.0%),addition,,Athletic Trainer (1.0 FTE),Athletic Trainer (1.0 FTE),not stated,,1,,,23,district-budget/text/superintendent-s-recommended-fy20-budget-presentation.txt,district-budget/docs/superintendent-s-recommended-fy20-budget-presentation.pdf,b9542c0f02c48dddda4b71e5856c421ec7c1ec2df6cc3b135e1c6d2663409098,stated
2020,2019-04-03,"Superintendent’s Recommended FY20 Budget, budget hearing 3 April 2019",recommended budget as presented for adoption,Superintendent’s Recommended FY20 Budget (3.0%),addition,,Unified Basketball Coach ( N/A),Unified Basketball Coach ( N/A),not stated,,,,,23,district-budget/text/superintendent-s-recommended-fy20-budget-presentation.txt,district-budget/docs/superintendent-s-recommended-fy20-budget-presentation.pdf,b9542c0f02c48dddda4b71e5856c421ec7c1ec2df6cc3b135e1c6d2663409098,stated
2020,2019-04-03,"Superintendent’s Recommended FY20 Budget, budget hearing 3 April 2019",recommended budget as presented for adoption,Superintendent’s Recommended FY20 Budget (3.0%),addition,,Student Custodians (2.0),Student Custodians (2.0),not stated,,2,,,23,district-budget/text/superintendent-s-recommended-fy20-budget-presentation.txt,district-budget/docs/superintendent-s-recommended-fy20-budget-presentation.pdf,b9542c0f02c48dddda4b71e5856c421ec7c1ec2df6cc3b135e1c6d2663409098,stated
2020,2019-04-03,"Superintendent’s Recommended FY20 Budget, budget hearing 3 April 2019",recommended budget as presented for adoption,Superintendent’s Recommended FY20 Budget (3.0%),addition,,Literacy Coach (1.0 FTE)**,Literacy Coach (1.0 FTE),not stated,,1,,,23,district-budget/text/superintendent-s-recommended-fy20-budget-presentation.txt,district-budget/docs/superintendent-s-recommended-fy20-budget-presentation.pdf,b9542c0f02c48dddda4b71e5856c421ec7c1ec2df6cc3b135e1c6d2663409098,stated
2020,2019-04-03,"Superintendent’s Recommended FY20 Budget, budget hearing 3 April 2019",recommended budget as presented for adoption,Superintendent’s Recommended FY20 Budget (3.0%),addition,,Middle School Coaches (N/A)**,Middle School Coaches (N/A),middle,middle school,,,,23,district-budget/text/superintendent-s-recommended-fy20-budget-presentation.txt,district-budget/docs/superintendent-s-recommended-fy20-budget-presentation.pdf,b9542c0f02c48dddda4b71e5856c421ec7c1ec2df6cc3b135e1c6d2663409098,stated
2021,2020-01-22,"Superintendent’s Proposed FY21 Budget Presentation, 22 January 2020",reductions contemplated to reach the target,Potential Reductions for 2.5%,reduction,,Eliminate the proposed Assistant Principal position,Eliminate the proposed Assistant Principal position,not stated,,,,,31,district-budget/text/superintendent-s-proposed-fy21-budget-presentation.txt,district-budget/docs/superintendent-s-proposed-fy21-budget-presentation.pdf,085f3aecd59b68244dcb90fe257c9ddadd59b5896afcc568a2974facdb2f5b8f,stated
2021,2020-01-22,"Superintendent’s Proposed FY21 Budget Presentation, 22 January 2020",reductions contemplated to reach the target,Potential Reductions for 2.5%,reduction,,Reduce the proposed Psychologist to 0.5 FTE,Reduce the proposed Psychologist to 0.5 FTE,not stated,,0.5,,,31,district-budget/text/superintendent-s-proposed-fy21-budget-presentation.txt,district-budget/docs/superintendent-s-proposed-fy21-budget-presentation.pdf,085f3aecd59b68244dcb90fe257c9ddadd59b5896afcc568a2974facdb2f5b8f,stated
2021,2020-01-22,"Superintendent’s Proposed FY21 Budget Presentation, 22 January 2020",reductions contemplated to reach the target,Potential Reductions for 2.5%,reduction,,Reduce a Teacher,Reduce a Teacher,not stated,,,,,31,district-budget/text/superintendent-s-proposed-fy21-budget-presentation.txt,district-budget/docs/superintendent-s-proposed-fy21-budget-presentation.pdf,085f3aecd59b68244dcb90fe257c9ddadd59b5896afcc568a2974facdb2f5b8f,stated
2021,2020-01-22,"Superintendent’s Proposed FY21 Budget Presentation, 22 January 2020",reductions contemplated to reach the target,Potential Reductions for 2.5%,reduction,,Adjust Paraprofessional hours/assignments,Adjust Paraprofessional hours/assignments,not stated,,,,,31,district-budget/text/superintendent-s-proposed-fy21-budget-presentation.txt,district-budget/docs/superintendent-s-proposed-fy21-budget-presentation.pdf,085f3aecd59b68244dcb90fe257c9ddadd59b5896afcc568a2974facdb2f5b8f,stated
2021,2020-01-22,"Superintendent’s Proposed FY21 Budget Presentation, 22 January 2020",reductions contemplated to reach the target,Potential Reductions for 2.5%,reduction,,Reorganize district departments,Reorganize district departments,district,district,,,,31,district-budget/text/superintendent-s-proposed-fy21-budget-presentation.txt,district-budget/docs/superintendent-s-proposed-fy21-budget-presentation.pdf,085f3aecd59b68244dcb90fe257c9ddadd59b5896afcc568a2974facdb2f5b8f,stated
2021,2020-01-22,"Superintendent’s Proposed FY21 Budget Presentation, 22 January 2020",reductions contemplated to reach the target,Potential Reductions for 2.5%,reduction,,Adjust the health insurance to remove new staff,Adjust the health insurance to remove new staff,not stated,,,,,31,district-budget/text/superintendent-s-proposed-fy21-budget-presentation.txt,district-budget/docs/superintendent-s-proposed-fy21-budget-presentation.pdf,085f3aecd59b68244dcb90fe257c9ddadd59b5896afcc568a2974facdb2f5b8f,stated
2021,2020-01-22,"Superintendent’s Proposed FY21 Budget Presentation, 22 January 2020",reductions contemplated to reach the target,Potential Reductions for 2.5%,reduction,,Level fund school based expense accounts,Level fund school based expense accounts,not stated,,,,,31,district-budget/text/superintendent-s-proposed-fy21-budget-presentation.txt,district-budget/docs/superintendent-s-proposed-fy21-budget-presentation.pdf,085f3aecd59b68244dcb90fe257c9ddadd59b5896afcc568a2974facdb2f5b8f,stated
2021,2020-01-22,"Superintendent’s Proposed FY21 Budget Presentation, 22 January 2020",reductions contemplated to reach the target,Potential Reductions for 2.5%,retained,,Special Ed Teacher (THES) stays,Special Ed Teacher (THES) stays,turkey-hill,thes,,,,31,district-budget/text/superintendent-s-proposed-fy21-budget-presentation.txt,district-budget/docs/superintendent-s-proposed-fy21-budget-presentation.pdf,085f3aecd59b68244dcb90fe257c9ddadd59b5896afcc568a2974facdb2f5b8f,stated
2021,2020-01-22,"Superintendent’s Proposed FY21 Budget Presentation, 22 January 2020",reductions contemplated to reach the target,Potential Reductions for 2.5%,retained,,0.5 FTE Psychologist stays,0.5 FTE Psychologist stays,not stated,,0.5,,,31,district-budget/text/superintendent-s-proposed-fy21-budget-presentation.txt,district-budget/docs/superintendent-s-proposed-fy21-budget-presentation.pdf,085f3aecd59b68244dcb90fe257c9ddadd59b5896afcc568a2974facdb2f5b8f,stated
2025,2024-04,Lunenburg School Committee Override Statement,"two lists, one conditional on a ballot question",Cuts without / with Override,reduction,the override failing,Humanities Teacher LHS,Humanities Teacher LHS,high,lhs,,,,2,district-budget/text/lunenburg-school-committee-override-statement.txt,district-budget/docs/lunenburg-school-committee-override-statement.pdf,7d45eac447431f812a7c02cd00e7ae73315a0612cdce215fb2c69657647cc1b7,stated
2025,2024-04,Lunenburg School Committee Override Statement,"two lists, one conditional on a ballot question",Cuts without / with Override,reduction,the override failing,Intervention Teacher LHS,Intervention Teacher LHS,high,lhs,,,,2,district-budget/text/lunenburg-school-committee-override-statement.txt,district-budget/docs/lunenburg-school-committee-override-statement.pdf,7d45eac447431f812a7c02cd00e7ae73315a0612cdce215fb2c69657647cc1b7,stated
2025,2024-04,Lunenburg School Committee Override Statement,"two lists, one conditional on a ballot question",Cuts without / with Override,reduction,the override failing,Classroom Teacher LMS,Classroom Teacher LMS,middle,lms,,,,2,district-budget/text/lunenburg-school-committee-override-statement.txt,district-budget/docs/lunenburg-school-committee-override-statement.pdf,7d45eac447431f812a7c02cd00e7ae73315a0612cdce215fb2c69657647cc1b7,stated
2025,2024-04,Lunenburg School Committee Override Statement,"two lists, one conditional on a ballot question",Cuts without / with Override,reduction,the override failing,Counselor LMS,Counselor LMS,middle,lms,,,,2,district-budget/text/lunenburg-school-committee-override-statement.txt,district-budget/docs/lunenburg-school-committee-override-statement.pdf,7d45eac447431f812a7c02cd00e7ae73315a0612cdce215fb2c69657647cc1b7,stated
2025,2024-04,Lunenburg School Committee Override Statement,"two lists, one conditional on a ballot question",Cuts without / with Override,reduction,the override failing,Classroom Teacher THES,Classroom Teacher THES,turkey-hill,thes,,,,2,district-budget/text/lunenburg-school-committee-override-statement.txt,district-budget/docs/lunenburg-school-committee-override-statement.pdf,7d45eac447431f812a7c02cd00e7ae73315a0612cdce215fb2c69657647cc1b7,stated
2025,2024-04,Lunenburg School Committee Override Statement,"two lists, one conditional on a ballot question",Cuts without / with Override,reduction,the override failing,Wilson Reading Teacher THES,Wilson Reading Teacher THES,turkey-hill,thes,,,,2,district-budget/text/lunenburg-school-committee-override-statement.txt,district-budget/docs/lunenburg-school-committee-override-statement.pdf,7d45eac447431f812a7c02cd00e7ae73315a0612cdce215fb2c69657647cc1b7,stated
2025,2024-04,Lunenburg School Committee Override Statement,"two lists, one conditional on a ballot question",Cuts without / with Override,reduction,the override failing,PE Teacher PS/THES,PE Teacher PS/THES,primary-and-turkey-hill,ps/thes,,,,2,district-budget/text/lunenburg-school-committee-override-statement.txt,district-budget/docs/lunenburg-school-committee-override-statement.pdf,7d45eac447431f812a7c02cd00e7ae73315a0612cdce215fb2c69657647cc1b7,stated
2025,2024-04,Lunenburg School Committee Override Statement,"two lists, one conditional on a ballot question",Cuts without / with Override,reduction,the override failing,Social Worker PS,Social Worker PS,primary,ps,,,,2,district-budget/text/lunenburg-school-committee-override-statement.txt,district-budget/docs/lunenburg-school-committee-override-statement.pdf,7d45eac447431f812a7c02cd00e7ae73315a0612cdce215fb2c69657647cc1b7,stated
2025,2024-04,Lunenburg School Committee Override Statement,"two lists, one conditional on a ballot question",Cuts without / with Override,reduction,the override failing,Instructional Coach Districtwide,Instructional Coach Districtwide,district,districtwide,,,,2,district-budget/text/lunenburg-school-committee-override-statement.txt,district-budget/docs/lunenburg-school-committee-override-statement.pdf,7d45eac447431f812a7c02cd00e7ae73315a0612cdce215fb2c69657647cc1b7,stated
2025,2024-04,Lunenburg School Committee Override Statement,"two lists, one conditional on a ballot question",Cuts without / with Override,reduction,the override failing,Math Teacher LHS,Math Teacher LHS,high,lhs,,,,2,district-budget/text/lunenburg-school-committee-override-statement.txt,district-budget/docs/lunenburg-school-committee-override-statement.pdf,7d45eac447431f812a7c02cd00e7ae73315a0612cdce215fb2c69657647cc1b7,stated
2025,2024-04,Lunenburg School Committee Override Statement,"two lists, one conditional on a ballot question",Cuts without / with Override,reduction,the override failing,Science Teacher LHS,Science Teacher LHS,high,lhs,,,,2,district-budget/text/lunenburg-school-committee-override-statement.txt,district-budget/docs/lunenburg-school-committee-override-statement.pdf,7d45eac447431f812a7c02cd00e7ae73315a0612cdce215fb2c69657647cc1b7,stated
2025,2024-04,Lunenburg School Committee Override Statement,"two lists, one conditional on a ballot question",Cuts without / with Override,reduction,the override failing,Counselor LHS/LMS,Counselor LHS/LMS,mid-high,lhs/lms,,,,2,district-budget/text/lunenburg-school-committee-override-statement.txt,district-budget/docs/lunenburg-school-committee-override-statement.pdf,7d45eac447431f812a7c02cd00e7ae73315a0612cdce215fb2c69657647cc1b7,stated
2025,2024-04,Lunenburg School Committee Override Statement,"two lists, one conditional on a ballot question",Cuts without / with Override,reduction,the override failing,Paraprofessional (3) LHS,Paraprofessional (3) LHS,high,lhs,,,,2,district-budget/text/lunenburg-school-committee-override-statement.txt,district-budget/docs/lunenburg-school-committee-override-statement.pdf,7d45eac447431f812a7c02cd00e7ae73315a0612cdce215fb2c69657647cc1b7,stated
2025,2024-04,Lunenburg School Committee Override Statement,"two lists, one conditional on a ballot question",Cuts without / with Override,reduction,the override failing,Secretary (Athletics) LHS *,Secretary (Athletics) LHS,athletics,athletics,,,,2,district-budget/text/lunenburg-school-committee-override-statement.txt,district-budget/docs/lunenburg-school-committee-override-statement.pdf,7d45eac447431f812a7c02cd00e7ae73315a0612cdce215fb2c69657647cc1b7,stated
2025,2024-04,Lunenburg School Committee Override Statement,"two lists, one conditional on a ballot question",Cuts without / with Override,reduction,the override failing,Secretary/Clerk THES*,Secretary/Clerk THES,turkey-hill,thes,,,,2,district-budget/text/lunenburg-school-committee-override-statement.txt,district-budget/docs/lunenburg-school-committee-override-statement.pdf,7d45eac447431f812a7c02cd00e7ae73315a0612cdce215fb2c69657647cc1b7,stated
